,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24
0_250_5,-2.8931063156074837,3.1128571810943564,1.2029810818475322,1.2916325689264156,-8.0,0.05158838356395815,0.08333733197117354,0.5726670407569936,0.5171003608417939,3.132995258312779,1.5552498944626403,2.640554317063657,1.082196330040455,-2.1553896392035456,1.0874473699038165,0.6101642826211868,-0.33100706588147943,0.01455318842393313,0.2657335423809711,0.2648050911032964,0.32119273812714416,0.2069469984224559,0.42825176233601736,1.3350607233387506
0_500_5,-7.06769378668799,2.3911240622365852,1.1542797899108321,1.2593472812574844,-8.0,-1.9469090823783628,0.010295352846335657,0.34424004479999437,0.2391545053084801,2.296104101592632,1.537454400767182,0.4001617580342063,0.6177899518450966,-3.1203677553446836,1.0392948015790187,0.44752041526824754,-0.5906351012533063,-0.39141825514676476,0.22943711764051664,0.2550223064839295,0.3124032021210522,-0.42246805178896113,0.4147952575924309,1.3092815771873996
0_1500_5,-9.154938143654828,-1.1291969803271542,1.0623650123541826,1.1141969246244443,-8.0,-9.071523173260214,0.0015998059563290174,-3.0271398134626955,-4.655117267395106,-1.1391944150296958,0.08152928282311729,-1.9503270245026925,-1.0501138777065864,-5.727954617639474,0.9496993205099973,0.15345176774563965,-0.65324557167512,-0.41012163450976546,0.14152412695013536,0.24005636417752774,0.30192851475860827,-1.3832584567539539,0.38985303038618824,1.256001961161442
0_2500_5,-9.154938143654828,-9.198792409000536,1.057237658064273,1.061714835688695,-8.0,-9.093352067145226,0.0015998059563290174,-9.152831209347003,-9.098617854889696,-9.154464428203523,-8.412180704325063,-6.278612654249249,-4.0275582556677305,-8.700251073746216,0.9490625358119921,0.11281548460293311,-0.7204127812031539,-0.4101267313755229,0.11856714585897646,0.23502651790945633,0.24030152290507747,-1.3908161689318337,0.2887220062018952,1.2291780124090188
0_5000_5,-9.154938143654828,-9.198792409000536,1.0047404547728633,1.049136657017296,-8.0,-9.093352067145226,0.0015998059563290174,-9.164089641766962,-9.098617854889696,-9.17030067741305,-9.156306028560888,-8.768258042243877,-9.051801213683023,-9.04106127139077,0.9356731308197311,0.057381552721328756,-0.7332327934824517,-0.4101267313755229,0.02947341647561184,0.21190831986412612,0.24030152288600873,-1.3908161689318337,0.18917698168833255,1.1246455276363254
0_7500_5,-9.154938143654828,-9.198792409000536,0.9768409818795145,1.031706609973757,-8.0,-9.093352067145226,0.0015998059563290174,-9.164089641766962,-9.098617854889696,-9.17030067741305,-9.156306028560888,-9.092285253238629,-9.062031718172499,-9.04106127139077,0.9356731308197311,0.057381552721328756,-0.7356168149024385,-0.41456557230762103,-0.0131922770912651,0.21190578096663662,0.24030152288600873,-1.3908161689318337,0.15680070272579366,1.1080631915290113
0_1500_30,-2.1547465167216346,4.767763402772146,2.063398472345461,2.2460920140299026,1.533209485663113,1.6025331187273921,1.3598462503554962,1.6164659146346172,1.5188146430395377,4.646561397615095,2.363395926341252,3.9449501013454844,1.6314318784109763,-1.3702590244759267,2.1111787204835464,0.9897990627349579,0.18613778401917436,0.7853500046441128,0.8197363089826488,0.3097533831239093,0.46939469022094193,1.0319218216982744,0.6522274616618879,2.456251189534105
0_3000_30,-6.479385805401843,4.091520329752909,2.0164296578094847,2.2147460328257615,1.1794471570145595,0.7682334917499775,1.3448513523923713,1.4479036706030535,1.4519301991819507,4.123972856549164,2.336228209587026,0.3044150496977967,0.6005970563592914,-2.3828062107022623,2.048144326865386,0.9137054852592218,0.1303325697987901,0.7522998659846836,0.8197363089826488,0.2952869216482413,0.4678067540524724,1.02578260516345,0.6522274616618879,2.456251189534105
0_9000_30,-9.045757490560677,2.983104435183212,1.9497128848742533,2.1962871569905915,-8.0,-1.6158308496024898,1.3448513523923713,1.3439847217431047,1.351858528774078,3.0173592915515206,1.6691360472487784,-0.08037366800977104,0.4891606040977711,-3.954423817605762,2.0258516001139446,0.7866782683159077,0.1292839653353129,0.7122283433719521,0.7675570776194645,0.2902673885628423,0.46778364992929405,1.0256430922724054,0.5977112378475665,2.3052523093858417
0_15000_30,-9.045757490560677,2.293983630313657,1.9465540936507744,2.1919505931732854,-8.0,-2.7630705170512164,1.3448513523923713,1.2480811552672186,1.2536136246924718,2.2544319716388217,0.8955066983951718,-1.4545055871354187,0.3514582519231645,-4.746070071417309,2.0070287093714287,0.7668360562631263,0.12913424453303246,0.7121402014120702,0.7518254084365734,0.29026738855439504,0.46778364992929405,1.0256430922724054,0.5692393597787329,2.2814106200372533
0_30000_30,-9.045757490560677,0.6649616045864123,1.9465540936507744,2.191950589958105,-8.0,-3.8329890616762663,1.3448513523923713,0.9155994406166352,0.9267068587572138,0.7132336984930319,-3.330099511672837,-5.810622513171742,0.18800459883998571,-6.259138985581758,1.9978400051157368,0.7302186801144419,0.1290794913559762,0.7121201430725017,0.7304793199074009,0.29026738855439504,0.46778364992929405,1.0256430922724054,0.5444047876420456,2.2427048107222736
0_45000_30,-9.045757490560677,-8.379997117323779,1.9465540936507744,2.191950589958105,-8.0,-4.154060642247957,1.3448513523923713,-0.8001567117374446,-0.4721464968270633,-8.737888949882006,-9.009151498112136,-9.0,0.18800459883998571,-7.555017388992039,1.9978400051157368,0.7302186801144419,0.12907939936731777,0.712060960789715,0.6772685894903778,0.29026738855439504,0.46778364992929405,1.0256430922724054,0.5344038258867692,2.2152863599403196
1_250_5,-0.8952798990928533,3.359161773497614,1.2961367021256258,1.3979603361047759,-8.0,0.5214348394310736,0.07593329931511172,1.033882704498306,0.8505799617773778,3.2729242622293255,1.6019876667738948,4.5929978305993355,1.6714298493244244,-0.966427010723695,1.266893950164073,0.8317266976309116,-0.27769505888479545,0.36569785432764446,0.259453180777331,0.29465189086968346,0.34566493717606694,0.46070911376876766,0.4113984395994471,1.347593189266481
1_500_5,-2.9784211090274626,2.539160484707589,0.98661588288425,1.097561241347823,-8.0,-1.0614028620075273,-0.3392756247287442,0.5218106993688892,0.4707129606782125,2.3479058954024117,1.552878564236297,2.331654198028661,0.8393998188015701,-2.4834988363773265,0.9913384859558498,0.6435655581704214,-1.113737531520293,-0.3765091696462447,0.1341101917163235,0.14471959184145142,0.28789011861478647,-0.0068858973655690605,0.39839157123895785,1.2292449817550644
1_1500_5,-9.12688368544899,-0.15172678885388333,0.9796392504686521,1.0912433215649067,-8.0,-8.152502757111588,-0.3392756247287442,-1.2350332936476247,-1.775422847193689,0.05861054828783302,0.5542430670901904,0.1497164324315421,-1.1173554181883774,-5.338761675089745,0.9848159606427739,0.5933290347859439,-1.7360509305164193,-0.6854536206059201,0.1243304936826479,0.1429874013994755,0.2864180507292933,-1.3392477333259147,0.39839157123895785,1.2258575557518223
1_2500_5,-9.12688368544899,-8.37545319837733,0.8866999494724549,1.0348579644458176,-8.0,-9.162298673236377,-0.37969748255234353,-6.698435299631488,-8.935243392331715,-7.493493361862636,-4.768001528353534,-3.971634838298158,-3.877498705004931,-7.767914707039509,0.9279116918725252,0.3174255486120626,-1.7773541049864376,-0.6859769918428135,0.031000567044883864,0.10722213068625339,0.26575970864703974,-1.3392477333259147,0.3584075694271914,1.1897955650157255
1_5000_5,-9.12688368544899,-9.10957521631019,0.8791176772791269,1.0297694045986416,-8.0,-9.162298673236377,-0.5543856557079818,-7.214939045833923,-9.172374210875862,-9.142260747881949,-9.150184799263277,-7.864067206992447,-9.056826061199818,-9.03660599244854,0.8894657291441643,0.11388945354880484,-1.8345031035541048,-0.6859774385925173,0.012380517609385577,0.09883136692178188,0.26575727215135514,-1.4242075190388026,0.2409221583284881,1.1739241678826189
1_7500_5,-9.12688368544899,-9.10957521631019,0.8718752419560319,1.0151211580389687,-8.0,-9.162298673236377,-0.5543856557079818,-7.214939045833923,-9.172374210875862,-9.142260747881949,-9.150184799263277,-9.09365313814469,-9.071183216284634,-9.03660599244854,0.8416424618153308,-0.12733383204850382,-1.9526742287330205,-0.6859774395608763,-0.057680581072009754,0.09883136692178188,0.26575727215135514,-1.4242075190388026,0.1769077793675063,1.1289731129244198
1_1500_30,-0.2017191084863791,4.773479975895064,2.1206780772805343,2.3156726506334087,1.478753218521065,1.838642331087137,1.3678858575336574,2.010243093823354,1.8230015633081529,4.754134375069446,2.416031641597235,5.726868292788425,2.210556102567891,-0.4904220187883818,2.1318320087567435,1.309284768344769,0.25964455467545594,0.8139261648502035,0.8440512221078128,0.36287184492898306,0.9507866599145247,1.0249030877695482,0.6641717248127124,2.4533395637636195
1_3000_30,-2.695692494924237,4.150407821659177,1.9882578168113298,2.212099225653593,1.2685825583539267,0.8579152211324033,1.3419060745834945,1.4640825772963517,1.4588348086936906,4.242491055579768,2.341718158973196,3.19711791783903,1.0799892836653444,-2.022960255274442,1.9870682633686538,1.266204755596314,0.17495184577453443,0.6995787397771088,0.8440512221078128,0.30776913568667874,0.9271354442807015,0.9912421832873918,0.6641717248127124,2.4533395637636195
1_9000_30,-9.046025988135778,2.989047872945817,1.9575281491101066,2.2000225822300346,-6.2533105957635815,-1.3567521192611331,1.3293650579511427,1.3774542754794106,1.3745722631837496,3.0527336493026347,1.5275061261359446,0.18116441976488726,0.2474237176528185,-3.780742109787959,1.95903647506651,0.9331366773874826,0.14989950703919802,0.6734791365867026,0.8174489706874601,0.30380969892460447,0.9270409595395208,0.9908296760543699,0.6141271136719422,2.3094445722572576
1_15000_30,-9.046025988135778,2.3382702718381303,1.9246657032734475,2.1920969557035828,-8.0,-2.7689085819328416,1.312615088033981,1.2876276915625025,1.2830574110107953,2.3768044366248464,0.7264537127049622,-0.17218512237355257,0.24738520244274395,-4.65817918715435,1.959036472583044,0.8128364832716184,0.14953525469508738,0.6728592833259064,0.8076966875596577,0.29972124714514764,0.9270409595395208,0.9908296757539411,0.599713163257249,2.2233264596043893
1_30000_30,-9.046025988135778,0.9390303361485387,1.9246657032530141,2.1920969557035828,-8.0,-4.280412387217824,1.3053345812975088,0.9541199743775396,0.9844225377822113,1.0281484651693007,-3.1547582173619197,-4.144432302103899,-0.0826282309380384,-6.084325301652333,1.9553242719154773,0.7570597265038354,0.14939065102926752,0.6723096291762986,0.7581361797728436,0.29972124704957864,0.9270409595395208,0.9908296757539411,0.5763744527399746,2.2093502701538936
1_45000_30,-9.046025988135778,-1.863256839566538,1.9118314384836252,2.1920969557035828,-8.0,-4.83557773292795,1.300996217717131,-0.2151450531798799,-0.027662319281866653,-1.6524089618389208,-9.01336583682669,-8.483575959196141,-0.0826282309380384,-7.3639465715418435,1.9553242719154773,0.7448052809337056,0.14938937474846564,0.6722357666893223,0.7392266326272701,0.29972124704957864,0.9270409595395208,0.9908296757539411,0.5549513032297912,2.134604767760382
2_250_5,-2.832302480676691,3.230729245863029,1.1992221314828664,1.3427357890390952,-8.0,0.09605150130005549,0.06766590197358324,0.558167885737968,0.574483008926845,3.182937360780182,1.59540022908616,2.5095013258737198,1.084491070912247,-2.1478982720930895,1.158106948258348,0.7840377331639488,-0.4353462245918284,0.13087790206685862,0.251684941588384,0.25889559103337234,0.052959982380192686,0.19879760908288407,0.43029609058053186,1.3548834782419164
2_500_5,-7.235543942933411,2.3505735625248683,1.1458593770557364,1.3110721341780884,-8.0,-1.9652299947866414,-0.014143822756664282,0.3606416258306829,0.3083898380518895,1.87461518437009,1.5870730650858924,0.5289334871036176,0.5510645454429653,-3.1356494773986334,1.0901336552972236,0.6805244460607989,-0.7332626970065651,-0.15620579754453845,0.16621602234456567,0.23863852751993303,0.03185398060668386,-0.18453458674700912,0.4263357941030475,1.3478667056040923
2_1500_5,-9.220502073084564,-1.0244036676185604,1.022046859321072,1.2286193882206686,-8.0,-9.077515817935701,-0.07636622025502407,-2.9453890273163825,-3.2978274910899508,-0.5662629645206796,0.3581252003405139,-1.5450427419085604,-1.8869494401314246,-5.778019788221883,1.0706616321450846,0.4094540030717212,-0.7474954042584198,-0.25441645792783485,0.06592571814375126,0.18198710524149397,0.00447194125403636,-1.6373070392597977,0.33847345984546634,1.2696203836883542
2_2500_5,-9.220502073084564,-9.172973469724646,0.9864293173623677,1.1869014555255215,-8.0,-9.093012110169647,-0.17562904138293356,-9.109876287309657,-9.087746322425179,-9.151531475795071,-8.070711483201732,-5.097318682912849,-4.23706397850267,-8.79692511454555,1.0706616321450846,0.34608989750648134,-0.776581377731642,-0.2803121704662339,-0.025359276491357642,0.14895371467333987,0.00447194125403636,-3.2033911945798246,0.2604969437948002,1.2098598933561182
2_5000_5,-9.220502073084564,-9.172973469724646,0.9839964617610178,1.1379113920347077,-8.0,-9.093012110169647,-0.25938757625471726,-9.109876287309657,-9.093012110169647,-9.15713722051512,-9.186362827650767,-8.0703270640269,-7.180216905041911,-9.045757490560677,1.0117677551462094,0.037417481507215175,-0.7991822842832488,-0.30293998312537745,-0.1170419262560303,0.12621401109063926,-0.009127665979742277,-3.7367525885324953,0.13640283403070597,1.185082429409996
2_7500_5,-9.220502073084564,-9.172973469724646,0.9497005204942817,1.1338707108044648,-8.0,-9.093012110169647,-0.33222245445313886,-9.109876287309657,-9.093012110169647,-9.15713722051512,-9.186362827650767,-9.109679551333404,-7.180216905041911,-9.045757490560677,0.9270793863826855,-0.07030059783197047,-0.7992064694302947,-0.30293998312537745,-0.13822649534688886,0.08974604249537307,-0.25739947551841624,-3.9545673101073255,0.12531928940416168,1.1410359019473284
2_1500_30,-2.2177020993646037,4.65384563429205,2.103880680228759,2.286273373711723,1.547987160856704,1.5766567106578198,1.4184592384761312,1.5130387087522172,1.471369162901991,4.600391570855363,2.412146351082589,3.9387903356475875,1.5727256735769568,-1.3392143122141325,2.2010501715927178,1.0730388546519092,0.25770749425267714,0.796162947862657,0.8342776717904714,0.31288978135433176,0.6773042750534828,0.9823831239817707,0.6626543141658487,2.456589048112087
2_3000_30,-6.577223671323926,4.087320211849172,2.0552180751182894,2.2456402458064852,1.2496925559193137,0.747955132119206,1.414046295172436,1.4462676014139628,1.4362653172339335,4.11536581494456,2.3730979857072656,0.35959918320169443,0.4431840990018264,-2.377313734334847,2.1625726872913296,0.9711718059299355,0.21324649755202274,0.7454055047797946,0.8260652771702446,0.29013373959883204,0.6751659306118935,0.9819028127705716,0.6489404685120299,2.455890106792455
2_9000_30,-9.036365052220866,2.9196433401849204,1.9619850079399803,2.2438807399788394,-6.2,-1.3740042222697,1.391580121806226,1.3363843190785873,1.327889018470364,3.0240166525182395,1.7250491990273584,-0.11298039345575868,0.3418056543312679,-3.8858372749770096,2.003130476217842,0.7700614289993286,0.14472193900473196,0.7447321667537478,0.7957630536079072,0.2877840920791761,0.6751651460204359,0.9819027686613289,0.5963801632524318,2.3260591463287685
2_15000_30,-9.036365052220866,2.275425961109362,1.961984952952055,2.2438807061457453,-8.0,-2.564102750500366,1.3588356902815424,1.2371078918830247,1.2298070626664421,2.2696099359938997,0.9596929960456055,-1.5619945677038998,0.1886522997367662,-4.716165293551818,1.9978784841322443,0.7440178897903047,0.14472192774332115,0.7447297466420413,0.6982244419496423,0.2877840920046081,0.6751651460204359,0.9819027686613289,0.5817076689171048,2.2429174351494936
2_30000_30,-9.036365052220866,0.6071189808892224,1.9591368635471873,2.2438807061457453,-8.0,-3.6209704086849923,1.3405078943796542,0.8970488430711508,0.8882532517486584,0.7883756538547666,-3.354993996980194,-5.920020827977873,0.1886522997367662,-6.2361400582840085,1.9864413331038346,0.7440168791850426,0.14472192774332115,0.7447258534921473,0.6492133330929784,0.2843518682159798,0.6751651460204359,0.9819027686613289,0.5389824163798842,2.1455266202405676
2_45000_30,-9.036365052220866,-8.587991574520622,1.959136863547042,2.2438807061457453,-8.0,-3.988964452388754,1.3174049466714641,-0.7748060533338392,-0.9355321438144845,-7.516181354710524,-9.0,-8.738779358254483,0.1886522997367662,-7.587700009226434,1.9861961134143118,0.7245764119622733,0.14472192774332115,0.7447258195678629,0.5991396486224749,0.2843518682159798,0.6751651460204359,0.9819027686613289,0.506558459805943,2.1071084698355964
3_250_5,-0.8378310889726613,3.229913569078321,1.2899036680572091,1.4078449630852676,-8.0,0.48121817439592746,-0.09394127325601506,1.066636715994688,0.8615332835005012,3.359832540226025,1.6672869897888887,4.5604133188298315,1.6727501583055382,-0.9637484925467621,1.3170981457188582,0.7574650746124053,-0.2481672554674897,0.3566444203810132,0.2601360700192779,0.34206684175945307,0.23220140284377955,0.12524656422357064,0.432681050593389,1.3473586934094333
3_500_5,-3.035160701627339,2.3752666817840282,0.9702091468145673,1.1404339450309493,-8.0,-1.089352426440832,-0.4456295795464854,0.49673811511672916,0.49673293843139543,2.374905399919508,1.6109341095036467,2.3819142637833757,0.758346571062345,-2.4687702577244384,1.1463572747706592,0.4351575520539142,-1.0597117231265423,-0.3452956270130064,0.0813983581165575,0.21406781620448806,0.1931489386236928,-0.5273920788015394,0.39511635630045244,1.238186115167212
3_1500_5,-9.117999857491307,-0.6401757955510733,0.8673266408824555,1.1051896236928824,-8.0,-8.170089693030196,-0.5442666427869911,-1.4703003935065913,-1.4917330780297766,-0.20016617607007153,0.6150559817033081,0.05225158082241588,-1.201514336149344,-5.255429203590583,1.0903597290962805,0.14332755967930674,-1.7811289718025651,-0.6366773889332137,0.009357548787250355,0.21299542533037363,0.1926446957851569,-1.5885011602359334,0.3084420506400708,1.1972312361278719
3_2500_5,-9.117999857491307,-8.57294777677391,0.809099019860222,1.0973429180756222,-8.0,-9.1503133838854,-0.5442666427869911,-7.204519505974889,-8.000497582179301,-8.243793196130582,-4.787836954067542,-3.2492983616153888,-4.228451594648415,-7.764830609738853,0.9985513014114105,-0.0405566871280704,-1.7829815314509059,-0.6372738670036452,-0.04744672321474445,0.17773522361308933,0.16851113060210912,-2.2279385449020537,0.260526702936272,1.1136738493561362
3_5000_5,-9.117999857491307,-9.18928876144208,0.7768376404880295,1.0457871392699025,-8.0,-9.1503133838854,-0.6920345525214495,-7.260069053533225,-9.142719934658514,-9.212471350476026,-9.152265351343232,-8.021987254156418,-9.046025988135778,-9.027454494336407,0.9424585312538809,-0.33064094851569614,-1.7958779642295764,-0.639461623620176,-0.19705763007184265,0.13956737242479017,0.129420466689337,-3.599422448094761,0.2052981873892278,1.0342400819389674
3_7500_5,-9.117999857491307,-9.18928876144208,0.7768376401874717,1.0397944919872901,-8.0,-9.1503133838854,-0.743401833443577,-7.260069053533225,-9.142719934658514,-9.212471350476026,-9.152265351343232,-9.062130734920403,-9.055686924050688,-9.027454494336407,0.9302979679321457,-0.4316392185249449,-1.7970194838225233,-0.6537997819251069,-0.23018351918385832,0.07363235506499385,-1.8286766709495446,-3.8582748354461307,0.18272671393190648,1.0082366344661955
3_1500_30,-0.22105689290083705,4.775595355101795,2.0904936509276815,2.292985788347319,1.4808685499359744,1.8430395450752741,1.4319145645306186,2.021870301869121,1.8656765867526452,4.723363559830853,2.4140294866612626,5.7264551188000254,2.198769785520916,-0.504243457201317,2.2527561123658257,1.2326607104272358,0.18796953632303032,0.7497820997719037,0.8429664553136076,0.3511196003619371,0.398887424738466,1.0673517918372257,0.6779230519754508,2.4533231440041545
