,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24
0_250_5,0.0013944499399999601,1547.00398438109,16.174871721349998,19.7049221375,0.0,1.15811996656,1.23770271344,3.77714726038,3.3426291937500006,2039.17257870717,37.35668575169,485.28054458547,12.48860224505,0.00760368583999998,12.45687349392,4.39963607282,0.6832682153999998,1.45283823908,1.8798887613200002,1.85834053693,2.1548896474499997,3.70438766247,2.6870313585799996,22.10279158663
0_500_5,9.015000000000001e-08,315.41192240515,14.61771178734,18.38960435392,0.0,0.01183862610999996,1.06586994645,2.25285381068,1.84507393397,266.28609530998,35.83446936562,3.1491517790700003,5.50755727051,0.00078840359999998,11.06651877565,3.1590562669999995,0.4815344058099999,0.9333780601399999,1.7135130770100002,1.8163749858400002,2.10466024369,3.6906625734900005,2.60128321144,20.74577796129
0_1500_5,7.1e-10,0.15674052412,11.74161137853,13.562803305009998,0.0,8.5e-10,1.04247801394,0.01337630688,0.00923602177,0.47052597375999994,1.3534573312699998,0.36378004955,0.12118799031000001,2.07073e-06,9.26132782578,1.4643595412,0.43907240982000006,0.9100862414000002,1.42090401799,1.75321975931,2.0727013605,3.6906512213600005,2.4719102378,18.2705979871
0_2500_5,7.1e-10,6.400000000000001e-10,11.60558188741,11.929951126530002,0.0,8.1e-10,1.04247801394,7.2e-10,7.999999999999999e-10,7.1e-10,8.370000000000001e-09,0.007223357220000001,0.00027748697000000005,2.18e-09,9.25310864701,1.35371548345,0.38315692045999994,0.9100725834900001,1.34426953981,1.7292792513,1.79039570387,3.69065122135,1.95569864911,17.25642600599
0_5000_5,7.1e-10,6.400000000000001e-10,10.34755704701,11.541508932180001,0.0,8.1e-10,1.04247801394,7e-10,7.999999999999999e-10,6.8e-10,7e-10,6.24e-09,8.899999999999998e-10,9.100000000000001e-10,8.95461991777,1.19092586038,0.38152534755,0.9100725834900001,1.0991437152,1.63463596213,1.79039570381,3.69065122135,1.5727853546100001,13.98623466428
0_7500_5,7.1e-10,6.400000000000001e-10,9.75058262033,10.944534505490001,0.0,8.1e-10,1.04247801394,7e-10,7.999999999999999e-10,6.8e-10,7e-10,8.1e-10,8.699999999999999e-10,9.100000000000001e-10,8.95461991777,1.19092586038,0.38124769279000004,0.90752980205,0.9865167278400001,1.6346262676999999,1.79039570381,3.69065122135,1.45914330405,13.474253120110001
0_1500_30,0.007125061499999979,59982.24508679062,115.89406940479,176.69212556768002,34.63135758264,40.787668038519996,23.053609129580003,46.95207031273999,33.581981325230004,45346.46475231355,231.16982048043002,8995.206901210378,42.880148502279994,0.04275288114,129.93821276757998,11.39105285873,1.63384241348,6.309650418439999,6.609244770890001,2.04392791849,3.190389293,11.13440760997,4.49702117515,286.46146746100004
0_3000_30,3.4748000000000004e-07,12755.97850632881,104.17136015219,164.46721943706,15.3083853246,6.34903297313,22.221302235030002,28.051836992979997,28.310441562010006,13413.2518773541,217.48310901588997,2.12077617753,4.78975446546,0.004151582869999999,112.97184117976,9.98802531446,1.45631890091,5.88987746067,6.609244770890001,1.9769311188499998,3.1805995126399997,11.02598741905,4.49702117515,286.46146746100004
0_9000_30,9e-10,970.36784254054,89.94396353852001,157.40171970756,0.0,0.02919215455999998,22.221302235030002,22.08677289363,22.48664948898,1055.34472972297,47.24249252366,0.8958253274699999,3.3859995860399996,0.00011126027999996,107.49029758141,6.54413509825,1.4522700791199998,5.3353129590899995,5.91980460941,1.9524775722,3.18048040541,11.023649454990002,3.97218182989,215.67632311773
0_15000_30,9e-10,199.20992040299,89.44649522209998,155.90930805763,0.0,0.00234839591,22.221302235030002,17.711526769050003,17.93864599786,180.72757035917,8.046769629829999,0.04670926081,2.56037436147,1.8113439999999998e-05,102.42704019604,6.088440116879999,1.45134615729,5.33382127232,5.734459985319999,1.95247757216,3.18048040541,11.023649454990002,3.72915305434,202.59752137949
