,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24
0_250_5,0.7024360572724203,4.437893119403334,1.7214192046596455,1.8877869914372756,1.298431897647121,2.2360868187466827,1.2971453092063354,2.8968311193925955,2.7460142651811443,4.519256042014953,2.4924781905435163,6.411743612453589,2.5011763262237623,0.43608630302448204,1.7316096102889258,0.9646009831160187,0.6240132860894011,1.2098281314490547,0.7354326692933623,1.5762203826562846,0.9093158700247622,0.9665466893342209,0.4180784086764421,1.6569581766045136
0_500_5,0.47547225122878317,4.089051122749988,1.642403253784693,1.7939215423896013,0.7510118863776165,1.9489629856079247,1.073145262417626,2.55396448772653,2.5210350429550115,4.21509007390532,1.9826454973640129,6.189876278683731,2.365427162297427,0.3010291588520543,1.646078899295692,0.868816169320773,0.5371154097011679,1.0842315713934079,0.6514449216391017,0.6265740438433254,0.8118766127565366,0.8667208398475161,0.33299912995295233,1.58569835208123
0_1500_5,-0.20934818750372566,3.299069728331678,1.383374402609439,1.5108822636108337,-8.0,1.1142568190892947,0.6556531100541785,1.7205614546391135,1.8076759888987677,3.646363925658963,1.6074450201086914,5.403158816051588,2.0264585246475053,-0.1360036343989544,1.412979214559558,0.7076440308256473,0.2863092120669414,0.7932150728299945,0.37030338249383266,0.3969250122929702,0.4118691303874452,0.46145996287564073,0.24887827436917095,1.4363372556282987
0_2500_5,-0.9550081343162198,2.5986623908804494,1.105227745828686,1.3020416447563599,-8.0,0.8782565829436504,0.4411349206444484,1.4000980327542438,1.4688905390952935,3.431730599780587,1.5237531429137556,4.8709199838910235,1.8585582222254218,-0.5737961463407958,1.3211177063930826,0.6189107796223381,0.06955084229946898,0.6603618123638298,0.23879024782372987,0.2848053131207836,0.28687785635476953,0.3349137653505558,0.19657661139546967,1.3393023241034083
0_5000_5,-2.4925486399593906,1.0083431064628448,0.803115877893792,0.8998916497934746,-8.0,0.18773494968772483,-0.15919015879324572,0.7311071331427013,0.7932159026389793,3.0191901011823887,1.2868361330038407,4.113582469742565,1.4892866810521734,-1.671804712138068,1.114700793922107,0.5254944893367395,-0.2716868241190154,0.3802422469706219,0.08527410755969127,0.11516086015867813,-0.04162432534617578,0.09531106005973336,0.14215986452163393,1.2166834072691806
0_7500_5,-4.003225089957584,-0.5748391052968275,0.5976845658904744,0.7470919357336168,-8.0,-0.45101525048165814,-0.5061365547689961,0.3884881308079512,0.4853295615263488,2.795258412330682,1.1553241029132795,3.477430067689705,1.1857773258083508,-2.429877455867206,0.9691873296476492,0.45588520004767064,-0.6317475844655058,0.07771080765229722,-0.02979415380933238,-0.003803635337222421,-0.502364162096041,-0.20700024076175844,0.07359162968582246,1.1683385726804987
0_1500_30,1.9428860443359048,6.117117705407143,2.843828629966121,3.048723334552049,1.9958124652017766,4.60691112921143,2.7669385107801436,4.923127967337502,4.978209741210921,6.264259143645466,2.5727463719295955,8.19255533539054,3.2628376746174697,1.542079532709846,2.8609455027577093,1.5395402613097307,1.0292269570087373,1.5951322548051419,1.2458608880817832,4.587124220305225,1.877952345117895,1.8756477543520482,0.6177682859328278,2.818150922260376
0_3000_30,1.6761433199063975,5.655022095753047,2.6651654661907713,2.8935536032714895,1.229387571201228,3.10680516930883,2.6393779337449352,4.555330405197473,4.752222221656261,6.1329048511953115,2.5193516926652,7.905800378640903,3.136521926299434,1.3930160484067795,2.718708726051453,1.5057780750418845,0.9055256088086676,1.473406186036194,1.1562231108513947,4.274055872504669,1.853500840097506,1.8303793002605204,0.6053109127107442,2.7443534552906454
0_9000_30,0.943442041531168,4.348736982966217,2.4064871544439455,2.5903397811682973,-1.9741738011375012,2.561205678138877,2.4260515391798996,3.5548063892977675,3.969035714706262,5.964409169161266,2.4924194721352513,7.148767670093678,2.8578895760225693,1.1141841437522655,2.535129306510935,1.4728518488660676,0.6833113549658966,1.294534596609634,0.9554998007452987,2.945643498389548,1.6593372581951933,1.3725846115749838,0.5608972332659141,2.571261328756367
0_15000_30,0.29785283318923084,3.4167070708652645,2.315880241586847,2.450056590566768,-5.018346644708209,2.4245546271984857,2.302533158144777,3.0168549738474026,3.4312680925362047,5.897665294300278,2.4693280487203317,6.5839350492369375,2.6589621383945596,0.8630329193799022,2.4704385496432457,1.4516005494622377,0.5518927383647607,1.197442433753842,0.9033456704055567,0.6529073306230844,1.347537630459192,1.0688057128170034,0.5340863093641247,2.514740423519836
0_30000_30,-1.2659168348791419,1.6640912101488978,2.2244878830183215,2.307409496689248,-8.0,2.1012550817988056,2.1287375513612488,2.2321010106066312,2.4486227469822754,5.806060198405205,2.4242523333047394,5.295187796996039,2.26590977444013,-0.040501891995187354,2.413459191354355,1.4416552221017869,0.33821163284648054,1.030528777451898,0.839582693418115,0.4900401416540531,0.8675685966749416,0.7844822484317328,0.5016164056880827,2.452768462997165
0_45000_30,-3.0016682005222846,-0.07708651169119443,2.1806158289026194,2.240326789275912,-8.0,1.8503294031098902,1.9848687868400012,1.5666074350209525,1.6572753114259497,5.764599856815224,2.4055426656312937,3.965416800242978,1.8667245463292228,-0.8632954733927896,2.3847080454736593,1.4266452129844907,0.10025304236882078,0.9309048114599013,0.8223943461201951,0.46686869712227175,0.5807496117131886,0.7333467928882749,0.48079230960336317,2.426847256419034
1_250_5,-0.6985731793648343,2.8527842088795565,1.320996085498084,1.3915679935313532,-8.0,1.1815432318941157,0.7166854454425818,1.6876426440286125,1.7927211036692916,3.977465450885441,2.0209694162392644,4.9765183699453726,1.9816153113370742,-0.48521618694419155,1.4568453798926724,1.009044217005812,0.2888445795335955,0.9062446279073209,0.5279967902631151,0.36932276435247857,0.667852417852267,0.7904060615912419,0.46049169487339114,1.5172319421931184
1_500_5,-2.427223960132137,1.1351201586389459,0.9753976930970751,1.1031935536034048,-8.0,0.6128604697583364,0.23156632858275478,0.8218167476248064,0.9018266022197692,3.3817221073686454,1.833113958398925,3.6512570431944864,1.540299580835665,-1.73370678938395,1.291967996740077,0.840595873099093,-0.08561442009394904,0.5809452188260825,0.41525875385482613,0.2325136647318932,0.33278335368438167,0.4246546290545501,0.42229547460430583,1.4058818409485985
1_1500_5,-9.310568393731556,-5.827247518637381,0.27001021497463984,0.46602216904779253,-8.0,-0.4077352191675899,-0.6499946774394488,0.13678855335480247,0.05039677582954387,2.4556736216361275,1.482948545917648,1.326511843941099,0.7865309561824446,-3.330788364332559,1.077954586411672,0.5547686526068987,-1.0454250115491788,-0.11473611084141042,0.0846764226141907,-0.21576380438431286,0.15603160424538748,0.277650406322525,0.24316310189630186,1.217456198567458
1_2500_5,-8.0,-8.0,0.19195762258549487,0.41364131219556366,-8.0,-1.2697522195356588,-2.5431346131923984,-0.22742929862399341,-0.6225432842712537,1.7539373051074587,1.2685113704280888,1.1384045330770334,0.3352391501751909,-3.9785000797509142,0.9380760165354914,0.36002947499893295,-1.9077221388027474,-0.507584664099181,0.03445945639797608,-0.37777485326084426,0.049104077288961864,0.27667122946227957,0.18737365699458572,1.1704679588735711
1_5000_5,-8.0,-8.0,0.19195758957922476,0.41364129769986213,-8.0,-3.1409902248864046,-3.9226543986131666,-1.8942713087038876,-3.1074197935412804,1.294977516704833,0.6374774431376029,0.9852354076685703,-0.5480579131108569,-4.918165991816896,0.7120040870019915,0.09281879423807497,-3.543562699813967,-0.9125465668477378,-0.06002684968852118,-0.4395932224281219,0.047441837637407676,0.27664886410633965,0.10078093284943548,1.06539892069587
1_7500_5,-8.0,-8.0,0.19195758957922476,0.41364129769986213,-8.0,-2.740990233694485,-5.075940074970395,-3.9073626805412687,-5.793156726278265,1.1010969092734995,-0.1057519029347754,0.7715089966752796,-1.3579373437902675,-5.62047970210927,0.655852525086261,-0.08130349435429643,-4.2309296957438765,-1.0878075804212475,-0.18590390682380684,-0.4395932224281219,0.047441837637407676,0.27664886372528724,0.0409871986353908,1.0171378358271776
1_1500_30,0.7990088961846018,4.282211612726772,2.4059272456202123,2.560272641516038,-8.0,2.6029416936172765,2.316637602813377,3.4352711407559595,3.6081555783142027,5.9231198449243525,2.6083903336184875,7.063171689072692,2.794591134365773,0.9545191979053174,2.53752439424137,1.540226132930987,0.7304739423838822,1.3335221765349345,0.9468794217862166,2.383983324582908,1.4488394240863358,1.277923850595887,0.6288047268873342,2.5710438627373113
1_3000_30,-0.20437170902796503,3.2272580250262957,2.297605618251679,2.3739696406394786,-8.0,2.386638306528999,2.002961178115391,2.520239347462538,2.5542562031595892,5.7785282113915075,2.5846197953306658,5.882251819115696,2.4153095688393953,0.2909104320715264,2.466753266488183,1.5198775848041204,0.5525346919084526,1.1863677833612336,0.8867653541895455,0.5095302058938783,1.0508409287676135,1.0858300348766068,0.5867333193900968,2.4958317662802623
1_9000_30,-3.429486797832223,2.1605883294655337,2.1491869385246636,2.1647856947035087,-8.0,2.1073460583085177,1.4445325405340674,1.5904549076576715,1.457524921250449,5.495243729062082,2.4943444033543245,2.417505344810073,1.4427522772024826,-0.49135021569318027,2.401491045596798,1.4727673000982644,0.2279814420723844,0.9283638055855006,0.8294237702110646,0.41539234057003566,0.7296718439751273,1.0253773616314021,0.5632761008821033,2.432679609961077
1_15000_30,-4.8282346853082885,2.160531445211728,2.049369793563195,2.0600391471641273,-8.0,2.035597333281175,1.2274128829915327,1.4701532714613137,1.433356212986157,5.355474070333218,2.446884599715562,1.7881992724664066,1.3212756350443347,-0.5733367930847313,2.383071876041073,1.4611347585865992,0.06911322182181912,0.8131293268123783,0.81239413556534,0.36928911020191124,0.6639005835706757,1.0192348753296867,0.5312408990957829,2.410269315635312
1_30000_30,-4.8282346853082885,2.160531444998237,1.874468400938343,1.8417124965049343,-8.0,2.0101100065677913,1.048897263774636,1.3777986437143768,1.3737100824909025,5.103193608970507,2.293596408761906,1.786612803580669,1.3165488952825082,-0.6477690801677278,2.3505059013703837,1.4312874569008343,-0.24510977230319422,0.6206467424059852,0.7890991696685816,0.24701774372924437,0.6429965924904557,1.0176472692930147,0.49555772507187806,2.38588497257494
1_45000_30,-4.8282346853082885,2.160531444998237,1.6493275221693733,1.5659874988347746,-8.0,2.0054937995959703,1.0158255124390752,1.1617371008475987,1.3263692521624044,5.001270477329205,2.190587113590633,1.7865255102768987,1.316375831407985,-0.6725789146992674,2.3369959692716775,1.4240038007133544,-0.42015689536253065,0.45947323300650406,0.7715177982524367,-0.04810026455368492,0.6275593351553755,1.0173475796755072,0.4794944079340224,2.367751020827211
2_250_5,0.6816426839932084,4.423220573645607,1.761874054828116,1.8854769341389113,1.2361487358283862,2.1647356256797194,1.2290880631271228,2.8823283077618003,2.749816251475085,4.42457558997515,2.3252509400444787,6.384489995880582,2.5030309655622784,0.44245128223780467,1.7600198761984065,0.9780958719858747,0.6157620440341851,1.192211863135698,0.7691747670363605,1.2347292287598655,0.8995084703960445,1.0426766099434936,0.41805571441137424,1.65797555876487
2_500_5,0.47020914548146137,4.082672287214558,1.659207484698134,1.7630562676002808,0.6370056433129347,1.8519525602218987,1.0805615255052023,2.551311485499308,2.489479791665764,4.138193824005671,1.9525010232005595,6.138431423770249,2.3710190144249355,0.29331835780479193,1.6793194051719578,0.8571184825148034,0.5147917999536835,1.0886944309909847,0.6262540637971198,0.6310476309316676,0.803806603493445,0.9025112505694874,0.3415024682900455,1.5842698680410447
2_1500_5,-0.20718965678212847,3.32074979392225,1.3550290432139072,1.540152102280034,-8.0,1.1559759580129576,0.6586238869449981,1.8896991853144933,1.848404254147931,3.668402159225164,1.584131462395841,5.42198673074154,2.0535686591122024,-0.13479828595794113,1.457378129801282,0.6915412544122123,0.2686815751327595,0.817344913316002,0.3965919885770253,0.4119925070663548,0.42984092242297917,0.5309764586971908,0.2755840843215785,1.4141402617078882
2_2500_5,-0.9249552926786782,2.617784252179525,1.1003023208882,1.2475419928675033,-8.0,0.8277916688814116,0.3650294367747132,1.3828947957661408,1.4644631548067175,3.427149684462802,1.445091041310186,4.857615820814816,1.8547974612050044,-0.6323114548751109,1.2687743348492977,0.62421067440778,0.04186735816304806,0.6461014525504079,0.24423990983968236,0.2750111531273134,0.2585115566537487,0.2832268187151773,0.1937035973410124,1.3393701566502272
