,target
1_1,-8.0
1_2,-8.0
1_3,-8.0
1_4,-8.0
1_5,-8.0
2_1,-8.0
2_2,-8.0
2_3,-8.0
2_4,-8.0
2_5,-8.0
3_1,0.7381674994220869
3_2,0.698658949190072
3_3,0.4188176151638026
3_4,0.5875731639754559
3_5,0.5452022079259086
4_1,0.9274202701043259
4_2,0.8766943262222456
4_3,0.8502932090841585
4_4,0.810718228081724
4_5,0.8113488234777403
5_1,-8.0
5_2,-8.0
5_3,-8.0
5_4,-8.0
5_5,-8.0
6_1,-8.0
6_2,-8.0
6_3,-8.0
6_4,-8.0
6_5,-8.0
7_1,-2.4377463190023043
7_2,-1.8613153854217377
7_3,-8.0
7_4,-2.784208768972652
7_5,-1.0217899650561095
8_1,-8.0
8_2,-8.0
8_3,-8.0
8_4,-8.0
8_5,-8.0
9_1,-8.0
9_2,-8.0
9_3,-8.0
9_4,-8.0
9_5,-8.0
10_1,-8.0
10_2,-8.0
10_3,-8.0
10_4,-7.250650239402524
10_5,-8.0
11_1,-4.956950290643179
11_2,-2.8784778750891236
11_3,-4.247092652717179
11_4,-5.504872118757067
11_5,-6.13879427189778
12_1,-3.2015701137231947
12_2,-8.0
12_3,-2.2675575777939816
12_4,-8.0
12_5,-4.366678522421273
13_1,-6.203529743432295
13_2,-5.532673130095531
13_3,-5.014724005604942
13_4,-6.061880730805688
13_5,-6.40104543311459
14_1,-8.0
14_2,-8.0
14_3,-8.0
14_4,-8.0
14_5,-8.0
15_1,0.3976170431036272
15_2,0.4749264644690152
15_3,0.30793585019061454
15_4,0.44869469063367434
15_5,0.4749264644690152
16_1,-0.41073437919270117
16_2,-0.6740000287529598
16_3,-0.717190641339465
16_4,-0.6188968274288817
16_5,-0.29638476504208905
17_1,-2.57563840754854
17_2,-3.19549695568385
17_3,-4.172106916734151
17_4,-2.0208679553797357
17_5,-2.2109654673875
18_1,-1.0741956491594815
18_2,-1.2286979631167332
18_3,-0.669383977048133
18_4,-1.6704311348314245
18_5,-0.6998501199304674
19_1,-0.5535783303076409
19_2,-0.49478292958672965
19_3,-0.4840234885642859
19_4,-0.1378705647855069
19_5,-0.5014193409420183
20_1,0.1466185011198078
20_2,0.08782815364821436
20_3,0.027795797821899296
20_4,0.0663454659187659
20_5,0.10843139833187135
21_1,0.09525848089621204
21_2,-8.0
21_3,-8.0
21_4,-0.03150297084320907
21_5,0.036479765567779626
22_1,-8.0
22_2,0.29114650837485184
22_3,-0.009883486911481793
22_4,0.21516422687403045
22_5,-0.46101370438996603
23_1,-0.1432399401703651
23_2,-1.117019564995256
23_3,-1.1866798792640227
23_4,-0.6938560276677268
23_5,-0.6675996158456828
24_1,0.735395193961063
24_2,0.9689601405347711
24_3,0.6608094806830933
24_4,0.8280670113842881
24_5,0.8038617664619316
