"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"1",30,1,"conf_484",1500,1,56.831012914,5,30
"2",30,1,"conf_484",3000,1,20.7703398263,5,30
"3",30,1,"conf_484",9000,1,0.6749198289,5,30
"4",30,1,"conf_484",15000,1,0.0119669657,5,30
"5",30,1,"conf_484",30000,1,4.277e-07,5,30
"6",30,1,"conf_484",45000,1,0,5,30
"7",30,1,"conf_484",1500,2,41.171259553,5,30
"8",30,1,"conf_484",3000,2,18.4198939264,5,30
"9",30,1,"conf_484",9000,2,0.5175531994,5,30
"10",30,1,"conf_484",15000,2,0.013738973,5,30
"11",30,1,"conf_484",30000,2,6.266e-07,5,30
"12",30,1,"conf_484",45000,2,0,5,30
"13",30,1,"conf_484",1500,3,59.1388846124,5,30
"14",30,1,"conf_484",3000,3,18.3193471092,5,30
"15",30,1,"conf_484",9000,3,0.3598973921,5,30
"16",30,1,"conf_484",15000,3,0.0074716149,5,30
"17",30,1,"conf_484",30000,3,3.045e-07,5,30
"18",30,1,"conf_484",45000,3,0,5,30
"19",30,1,"conf_484",1500,4,54.1002200828,5,30
"20",30,1,"conf_484",3000,4,19.419127838,5,30
"21",30,1,"conf_484",9000,4,0.4824054366,5,30
"22",30,1,"conf_484",15000,4,0.0083822907,5,30
"23",30,1,"conf_484",30000,4,3.658e-07,5,30
"24",30,1,"conf_484",45000,4,0,5,30
"25",30,1,"conf_484",1500,5,50.4082264568,5,30
"26",30,1,"conf_484",3000,5,18.9290241277,5,30
"27",30,1,"conf_484",9000,5,0.3278005521,5,30
"28",30,1,"conf_484",15000,5,0.0080736419,5,30
"29",30,1,"conf_484",30000,5,3.147e-07,5,30
"30",30,1,"conf_484",45000,5,0,5,30
"31",30,1,"conf_484",1500,6,51.21215578,5,30
"32",30,1,"conf_484",3000,6,10.5422164338,5,30
"33",30,1,"conf_484",9000,6,0.282132872,5,30
"34",30,1,"conf_484",15000,6,0.0085582022,5,30
"35",30,1,"conf_484",30000,6,4.781e-07,5,30
"36",30,1,"conf_484",45000,6,0,5,30
"37",30,1,"conf_484",1500,7,46.0588789137,5,30
"38",30,1,"conf_484",3000,7,14.9486413639,5,30
"39",30,1,"conf_484",9000,7,0.3729371733,5,30
"40",30,1,"conf_484",15000,7,0.011597782,5,30
"41",30,1,"conf_484",30000,7,5.001e-07,5,30
"42",30,1,"conf_484",45000,7,0,5,30
"43",30,1,"conf_484",1500,8,47.7458515037,5,30
"44",30,1,"conf_484",3000,8,22.0057095754,5,30
"45",30,1,"conf_484",9000,8,0.4658334263,5,30
"46",30,1,"conf_484",15000,8,0.0093107506,5,30
"47",30,1,"conf_484",30000,8,5.222e-07,5,30
