"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"1",5,1,"conf_532",250,1,5.6225266101,1,5
"2",5,1,"conf_532",500,1,1.8480542164,1,5
"3",5,1,"conf_532",1500,1,0.3725033251,1,5
"4",5,1,"conf_532",2500,1,0.0700760056,1,5
"5",5,1,"conf_532",5000,1,0.0026770156,1,5
"6",5,1,"conf_532",7500,1,1.86944e-05,1,5
"7",5,1,"conf_532",250,2,3.3038968495,1,5
"8",5,1,"conf_532",500,2,2.2301313803,1,5
"9",5,1,"conf_532",1500,2,0.5705911384,1,5
"10",5,1,"conf_532",2500,2,0.0407759804,1,5
"11",5,1,"conf_532",5000,2,0.0032761497,1,5
"12",5,1,"conf_532",7500,2,5.78453e-05,1,5
"13",5,1,"conf_532",250,3,2.8254639366,1,5
"14",5,1,"conf_532",500,3,2.3552722799,1,5
"15",5,1,"conf_532",1500,3,0.3185908534,1,5
"16",5,1,"conf_532",2500,3,0.1114363091,1,5
"17",5,1,"conf_532",5000,3,0.0016018403,1,5
"18",5,1,"conf_532",7500,3,5.27372e-05,1,5
"19",5,1,"conf_532",250,4,5.0023236477,1,5
"20",5,1,"conf_532",500,4,2.645875847,1,5
"21",5,1,"conf_532",1500,4,0.5547726213,1,5
"22",5,1,"conf_532",2500,4,0.10848987,1,5
"23",5,1,"conf_532",5000,4,0.0007000859,1,5
"24",5,1,"conf_532",7500,4,3.56503e-05,1,5
"25",5,1,"conf_532",250,5,6.6268120026,1,5
"26",5,1,"conf_532",500,5,3.2824665645,1,5
"27",5,1,"conf_532",1500,5,0.1644433182,1,5
"28",5,1,"conf_532",2500,5,0.1644433182,1,5
"29",5,1,"conf_532",5000,5,0.0017988426,1,5
"30",5,1,"conf_532",7500,5,3.90656e-05,1,5
"31",5,1,"conf_532",250,6,4.5293865806,1,5
"32",5,1,"conf_532",500,6,4.4973982777,1,5
"33",5,1,"conf_532",1500,6,0.2594586357,1,5
"34",5,1,"conf_532",2500,6,0.0832031107,1,5
"35",5,1,"conf_532",5000,6,0.0056300727,1,5
"36",5,1,"conf_532",7500,6,2.65155e-05,1,5
"37",5,1,"conf_532",250,7,1.0493808424,1,5
"38",5,1,"conf_532",500,7,1.0493808424,1,5
"39",5,1,"conf_532",1500,7,0.3780451954,1,5
"40",5,1,"conf_532",2500,7,0.0497627422,1,5
"41",5,1,"conf_532",5000,7,0.0003719239,1,5
"42",5,1,"conf_532",7500,7,1.20557e-05,1,5
"43",5,1,"conf_532",250,8,1.7937948578,1,5
"44",5,1,"conf_532",500,8,1.7937948578,1,5
"45",5,1,"conf_532",1500,8,0.3639766384,1,5
"46",5,1,"conf_532",2500,8,0.039488021,1,5
"47",5,1,"conf_532",5000,8,0.0023186443,1,5
"48",5,1,"conf_532",7500,8,6.70951e-05,1,5
"49",5,1,"conf_532",250,9,2.5717017975,1,5
"50",5,1,"conf_532",500,9,2.5717017975,1,5
"51",5,1,"conf_532",1500,9,0.2630950778,1,5
"52",5,1,"conf_532",2500,9,0.0620537084,1,5
"53",5,1,"conf_532",5000,9,0.0011521633,1,5
"54",5,1,"conf_532",7500,9,2.25632e-05,1,5
"55",5,1,"conf_532",250,10,2.9705966002,1,5
"56",5,1,"conf_532",500,10,2.8788093379,1,5
"57",5,1,"conf_532",1500,10,0.3715295792,1,5
"58",5,1,"conf_532",2500,10,0.0341349812,1,5
"59",5,1,"conf_532",5000,10,0.0019838867,1,5
"60",5,1,"conf_532",7500,10,2.98005e-05,1,5
"61",5,1,"conf_532",250,11,2.4209744438,1,5
"62",5,1,"conf_532",500,11,2.2172242463,1,5
"63",5,1,"conf_532",1500,11,0.2637242172,1,5
"64",5,1,"conf_532",2500,11,0.1216605157,1,5
"65",5,1,"conf_532",5000,11,0.002251303,1,5
"66",5,1,"conf_532",7500,11,4.22085e-05,1,5
"67",5,1,"conf_532",250,12,6.6350719937,1,5
"68",5,1,"conf_532",500,12,2.5190613607,1,5
"69",5,1,"conf_532",1500,12,0.451908664,1,5
"70",5,1,"conf_532",2500,12,0.0736638672,1,5
"71",5,1,"conf_532",5000,12,0.0017567561,1,5
"72",5,1,"conf_532",7500,12,2.73551e-05,1,5
"73",5,1,"conf_532",250,13,2.8235780834,1,5
"74",5,1,"conf_532",500,13,1.4125085668,1,5
"75",5,1,"conf_532",1500,13,0.4529212174,1,5
"76",5,1,"conf_532",2500,13,0.076770309,1,5
"77",5,1,"conf_532",5000,13,0.0035575302,1,5
"78",5,1,"conf_532",7500,13,4.7093e-05,1,5
"79",5,1,"conf_532",250,14,6.292905901,1,5
"80",5,1,"conf_532",500,14,4.2629657951,1,5
"81",5,1,"conf_532",1500,14,0.2750959428,1,5
"82",5,1,"conf_532",2500,14,0.0898147388,1,5
"83",5,1,"conf_532",5000,14,0.0012457271,1,5
"84",5,1,"conf_532",7500,14,2.78228e-05,1,5
"85",5,1,"conf_532",250,15,3.9099123147,1,5
"86",5,1,"conf_532",500,15,1.9890500132,1,5
"87",5,1,"conf_532",1500,15,0.2655299448,1,5
"88",5,1,"conf_532",2500,15,0.0927533535,1,5
"89",5,1,"conf_532",5000,15,0.0015488747,1,5
"90",5,1,"conf_532",7500,15,3.29842e-05,1,5
"91",5,1,"conf_532",250,16,3.5600572333,1,5
"92",5,1,"conf_532",500,16,3.0659451103,1,5
"93",5,1,"conf_532",1500,16,1.0687275445,1,5
"94",5,1,"conf_532",2500,16,0.0432248932,1,5
"95",5,1,"conf_532",5000,16,0.0035704104,1,5
"96",5,1,"conf_532",7500,16,3.8695e-05,1,5
"97",5,1,"conf_532",250,17,3.7975086744,1,5
"98",5,1,"conf_532",500,17,2.0243971388,1,5
"99",5,1,"conf_532",1500,17,0.3581849422,1,5
"100",5,1,"conf_532",2500,17,0.1736260733,1,5
"101",5,1,"conf_532",5000,17,0.0031071381,1,5
"102",5,1,"conf_532",7500,17,2.88215e-05,1,5
"103",5,1,"conf_532",250,18,6.0880595913,1,5
