,modAlgo,conf,dim,budget,train_r2,test_r2,train_mse,test_mse
0,modCMA,0,5,250,0.0,-0.0007043518560303941,4.768072401990688,4.769420316347554
1,modCMA,0,5,500,0.0,-0.0027213950407213084,6.323120435802301,6.330227871946114
2,modCMA,0,5,1500,0.0,-0.006267904125197088,9.56253439473397,9.588285000340447
3,modCMA,0,5,2500,0.0,-0.0024179822538069385,16.417045727432484,16.43244410246836
4,modCMA,0,5,5000,0.0,-0.00222009309061475,17.42136878220169,17.436959643846446
5,modCMA,0,5,7500,0.0,-0.0022912636354932127,17.40428329309479,17.420289461692814
6,modCMA,0,30,1500,0.0,-0.0001348531719796764,2.405055899195688,2.4051861542544812
7,modCMA,0,30,3000,0.0,-5.933976729637358e-05,4.060702143532756,4.060798464970412
8,modCMA,0,30,9000,0.0,-0.00011515934950758754,8.0798977179324,8.080269444651178
9,modCMA,0,30,15000,0.0,-0.00013094458770268602,8.245898829572145,8.246328688986658
10,modCMA,0,30,30000,0.0,-0.000342143975135345,10.020362302256261,10.021744721097194
11,modCMA,0,30,45000,0.0,-9.674240716202042e-05,16.26302776069811,16.2636595517423
12,modCMA,1,5,250,0.0,-0.00027371778193385765,4.828466307025211,4.828996860846631
13,modCMA,1,5,500,0.0,-0.00101618449433305,4.5881595723875686,4.590067884119764
14,modCMA,1,5,1500,0.0,-0.0030134139120106427,8.813993359010592,8.825230258474162
15,modCMA,1,5,2500,0.0,-0.005143082771048269,14.52623537929829,14.555675808019686
16,modCMA,1,5,5000,0.0,-0.004366355835422953,16.700935241599417,16.73017599714365
17,modCMA,1,5,7500,0.0,-0.004660638954524332,16.724403769884116,16.75551602666841
18,modCMA,1,30,1500,0.0,-0.0002629901937957424,2.2276184997493202,2.2278558386082747
19,modCMA,1,30,3000,0.0,-8.49908817672329e-05,2.3188969968570343,2.318975674143579
20,modCMA,1,30,9000,0.0,-0.006213736956063753,7.439849995544352,7.453429608856415
21,modCMA,1,30,15000,0.0,-0.00011937636722221256,8.175200320063963,8.175595452546073
22,modCMA,1,30,30000,0.0,-0.00041109942656820665,9.547825815866547,9.54942222346379
23,modCMA,1,30,45000,0.0,-0.0005676400238182833,13.047503681582834,13.0504644895794
24,modCMA,2,5,250,0.0,-0.0003303446815672295,4.768989027372674,4.769608191449362
25,modCMA,2,5,500,0.0,-0.0004800749284296746,6.238558186326279,6.239799129446574
26,modCMA,2,5,1500,0.0,-0.003401322538944829,9.18196670631662,9.195034574271324
27,modCMA,2,5,2500,0.0,-0.00016658616617966083,16.20128306988428,16.20238193365732
28,modCMA,2,5,5000,0.0,-0.0021133549809046583,16.711099368858264,16.725533725088713
29,modCMA,2,5,7500,0.0,-0.0024543418179816534,16.586111152668845,16.602429733747602
30,modCMA,2,30,1500,0.0,-0.0005030737702844679,2.364450628612997,2.3649255775851197
31,modCMA,2,30,3000,0.0,-0.00044449369028041195,4.144812283514993,4.14554468729987
32,modCMA,2,30,9000,0.0,-0.00979721158373974,7.494577849900537,7.516564819015467
33,modCMA,2,30,15000,0.0,-0.0010793015007938057,8.256293493384172,8.259865307914025
34,modCMA,2,30,30000,0.0,-0.0020440125605358794,10.018539123053325,10.026787216804749
35,modCMA,2,30,45000,0.0,-0.0002765002583076104,15.817936806020176,15.819626763260334
36,modCMA,3,5,250,0.0,-0.000284661358472027,4.843388018678944,4.843956305058293
37,modCMA,3,5,500,0.0,-0.0028420174657835416,4.663754328479936,4.669368941548088
