,module,dim,budget,acc,f1
0,elitist,5,250,0.9938446969696969,0.9935105868992414
1,elitist,5,500,1.0,1.0
2,elitist,5,1500,1.0,1.0
3,elitist,5,2500,1.0,1.0
4,elitist,5,5000,0.996875,0.996871945259042
5,elitist,5,7500,0.99375,0.9937438905180841
6,elitist,30,1500,1.0,1.0
7,elitist,30,3000,1.0,1.0
8,elitist,30,9000,1.0,1.0
9,elitist,30,15000,1.0,1.0
10,elitist,30,30000,1.0,1.0
11,elitist,30,45000,1.0,1.0
12,mirrored,5,250,0.7878787878787878,0.7806503416287602
13,mirrored,5,500,0.7779356060606061,0.7685268185849803
14,mirrored,5,1500,0.7714962121212121,0.7669254295962962
15,mirrored,5,2500,0.7439393939393939,0.7376797042631386
16,mirrored,5,5000,0.6359848484848485,0.6254905526464282
17,mirrored,5,7500,0.6205492424242424,0.6056790468840102
18,mirrored,30,1500,0.8464962121212121,0.84369187132612
19,mirrored,30,3000,0.837310606060606,0.8344387044253342
20,mirrored,30,9000,0.7566287878787878,0.7473862636032916
21,mirrored,30,15000,0.7387310606060606,0.731510650782912
22,mirrored,30,30000,0.7446022727272728,0.7328512699285521
23,mirrored,30,45000,0.7323863636363637,0.724155929487356
24,base_sampler,5,250,0.8553977272727273,0.8485956611838485
25,base_sampler,5,500,0.8800189393939395,0.8771100252055823
26,base_sampler,5,1500,0.9047348484848484,0.9023390982419114
27,base_sampler,5,2500,0.8889204545454547,0.8833994055480124
28,base_sampler,5,5000,0.759375,0.7431034609753594
29,base_sampler,5,7500,0.781155303030303,0.7696779494031001
30,base_sampler,30,1500,0.6795454545454545,0.674743457267877
31,base_sampler,30,3000,0.6762310606060606,0.6668574265841165
32,base_sampler,30,9000,0.7194128787878789,0.7124332281762893
33,base_sampler,30,15000,0.737405303030303,0.7240647093500843
34,base_sampler,30,30000,0.7621212121212121,0.7489350521818053
35,base_sampler,30,45000,0.784185606060606,0.7686839071574082
36,weights_option,5,250,0.7508522727272727,0.7486112093290602
37,weights_option,5,500,0.7964962121212121,0.7875089972968555
38,weights_option,5,1500,0.8092803030303031,0.7970533208384871
39,weights_option,5,2500,0.7621212121212121,0.7570052565331088
40,weights_option,5,5000,0.7779356060606061,0.7722975103053287
41,weights_option,5,7500,0.7603219696969697,0.7571735002034503
42,weights_option,30,1500,0.984564393939394,0.9832078688890282
43,weights_option,30,3000,0.9723484848484848,0.9715811840340907
44,weights_option,30,9000,0.984564393939394,0.9834753825930745
45,weights_option,30,15000,0.984564393939394,0.9836103042390054
46,weights_option,30,30000,0.9907196969696969,0.9893815108180434
47,weights_option,30,45000,0.9875946969696969,0.9876830353804374
48,local_restart,5,250,0.09848484848484848,0.09804343253916996
49,local_restart,5,500,0.08892045454545454,0.08818374582447809
50,local_restart,5,1500,0.3702651515151515,0.37342973527372514
51,local_restart,5,2500,0.5360795454545454,0.5238341294081188
52,local_restart,5,5000,0.6535037878787879,0.6490927668922015
53,local_restart,5,7500,0.7372159090909091,0.730480936309488
54,local_restart,30,1500,0.09839015151515151,0.09649307602504534
55,local_restart,30,3000,0.1785037878787879,0.17231433200077823
56,local_restart,30,9000,0.3112689393939394,0.3125616402105611
57,local_restart,30,15000,0.43778409090909093,0.4390657836512804
58,local_restart,30,30000,0.5430871212121212,0.5475755061815322
59,local_restart,30,45000,0.5860795454545455,0.5911973271824925
60,step_size_adaptation,5,250,0.9969696969696968,0.9967804878048782
61,step_size_adaptation,5,500,1.0,1.0
62,step_size_adaptation,5,1500,0.9816287878787879,0.9811589687451756
63,step_size_adaptation,5,2500,0.9848484848484848,0.9839953095684801
64,step_size_adaptation,5,5000,0.9415719696969698,0.938602040099602
65,step_size_adaptation,5,7500,0.9507575757575758,0.9487396063999493
66,step_size_adaptation,30,1500,1.0,1.0
67,step_size_adaptation,30,3000,1.0,1.0
68,step_size_adaptation,30,9000,0.9969696969696968,0.9967804878048782
69,step_size_adaptation,30,15000,0.981534090909091,0.9806442884793137
70,step_size_adaptation,30,30000,0.978409090909091,0.9773594578980888
71,step_size_adaptation,30,45000,0.9907196969696969,0.9901138211382113
