,module,dim,budget,acc,f1,acc_d,f1_d
0,elitist,5,250,0.9969696969696968,0.9966632962588473,0.44185606060606064,0.3050641069592507
1,mirrored,5,250,0.8125,0.8043449106268202,0.25615530303030304,0.13497523253620813
2,base_sampler,5,250,0.8461174242424242,0.8424693057793302,0.2527462121212121,0.1336485787217196
3,weights_option,5,250,0.7600378787878788,0.7623706521115325,0.253125,0.1340886248519768
4,local_restart,5,250,0.0834280303030303,0.08422933002445723,0.27755681818181815,0.1443871065595399
5,step_size_adaptation,5,250,1.0,1.0,0.4076704545454545,0.28879152951975273
6,elitist,5,500,1.0,1.0,0.44185606060606064,0.3050641069592507
7,mirrored,5,500,0.830965909090909,0.8236771128049879,0.25615530303030304,0.13497523253620813
8,base_sampler,5,500,0.8861742424242424,0.8860108893464662,0.2527462121212121,0.1336485787217196
9,weights_option,5,500,0.774905303030303,0.7717505629332255,0.253125,0.1340886248519768
10,local_restart,5,500,0.04905303030303031,0.04523351634945837,0.27755681818181815,0.1443871065595399
11,step_size_adaptation,5,500,1.0,1.0,0.4076704545454545,0.28879152951975273
12,elitist,5,1500,1.0,1.0,0.44185606060606064,0.3050641069592507
13,mirrored,5,1500,0.787594696969697,0.7786775464356565,0.25615530303030304,0.13497523253620813
14,base_sampler,5,1500,0.9508522727272727,0.9479635213400069,0.2527462121212121,0.1336485787217196
15,weights_option,5,1500,0.7570075757575758,0.7498532432077212,0.253125,0.1340886248519768
16,local_restart,5,1500,0.25293560606060606,0.26090179471744956,0.27755681818181815,0.1443871065595399
17,step_size_adaptation,5,1500,0.981534090909091,0.9810180273111309,0.4076704545454545,0.28879152951975273
18,elitist,5,2500,1.0,1.0,0.44185606060606064,0.3050641069592507
19,mirrored,5,2500,0.7198863636363637,0.7127660135390651,0.25615530303030304,0.13497523253620813
20,base_sampler,5,2500,0.9106060606060605,0.9072638250803294,0.2527462121212121,0.1336485787217196
21,weights_option,5,2500,0.7347537878787879,0.7301839795199996,0.253125,0.1340886248519768
22,local_restart,5,2500,0.3266098484848485,0.33096544125821287,0.27755681818181815,0.1443871065595399
23,step_size_adaptation,5,2500,0.9753787878787878,0.9746953413168992,0.4076704545454545,0.28879152951975273
24,elitist,5,5000,1.0,1.0,0.44185606060606064,0.3050641069592507
25,mirrored,5,5000,0.6421401515151516,0.6289270680100472,0.25615530303030304,0.13497523253620813
26,base_sampler,5,5000,0.731344696969697,0.7251587243946467,0.2527462121212121,0.1336485787217196
27,weights_option,5,5000,0.7196969696969697,0.7133068488967599,0.253125,0.1340886248519768
28,local_restart,5,5000,0.5759469696969697,0.5704085117576398,0.27755681818181815,0.1443871065595399
29,step_size_adaptation,5,5000,0.9474431818181819,0.9453292434885835,0.4076704545454545,0.28879152951975273
30,elitist,5,7500,0.99375,0.9937438905180841,0.44185606060606064,0.3050641069592507
31,mirrored,5,7500,0.5803977272727272,0.5687297913647239,0.25615530303030304,0.13497523253620813
32,base_sampler,5,7500,0.6730113636363637,0.6687564887490091,0.2527462121212121,0.1336485787217196
33,weights_option,5,7500,0.7442234848484849,0.741311437759022,0.253125,0.1340886248519768
34,local_restart,5,7500,0.678314393939394,0.6694798798984168,0.27755681818181815,0.1443871065595399
35,step_size_adaptation,5,7500,0.9475378787878789,0.9459162870893367,0.4076704545454545,0.28879152951975273
36,elitist,30,1500,1.0,1.0,0.44185606060606064,0.3050641069592507
37,mirrored,30,1500,0.8246212121212121,0.8125668038690653,0.25615530303030304,0.13497523253620813
38,base_sampler,30,1500,0.6579545454545455,0.6532073569879465,0.2527462121212121,0.1336485787217196
39,weights_option,30,1500,0.990625,0.99008910359635,0.253125,0.1340886248519768
40,local_restart,30,1500,0.039867424242424246,0.03713647329589359,0.27755681818181815,0.1443871065595399
41,step_size_adaptation,30,1500,1.0,1.0,0.4076704545454545,0.28879152951975273
42,elitist,30,3000,1.0,1.0,0.44185606060606064,0.3050641069592507
43,mirrored,30,3000,0.815435606060606,0.8059174591135221,0.25615530303030304,0.13497523253620813
44,base_sampler,30,3000,0.6821969696969697,0.6767715996564652,0.2527462121212121,0.1336485787217196
45,weights_option,30,3000,0.984564393939394,0.9834753825930745,0.253125,0.1340886248519768
46,local_restart,30,3000,0.058333333333333334,0.05568898022819592,0.27755681818181815,0.1443871065595399
47,step_size_adaptation,30,3000,1.0,1.0,0.4076704545454545,0.28879152951975273
48,elitist,30,9000,1.0,1.0,0.44185606060606064,0.3050641069592507
49,mirrored,30,9000,0.7599431818181819,0.7538162132961966,0.25615530303030304,0.13497523253620813
