,module,dim,budget,acc,f1,acc_d,f1_d
0,elitist,5,250,0.9414772727272727,0.9396967250564332,0.44185606060606064,0.3050641069592507
1,mirrored,5,250,0.5505681818181818,0.5472377566015112,0.25615530303030304,0.13497523253620813
2,base_sampler,5,250,0.7472537878787879,0.7360760377719512,0.2527462121212121,0.1336485787217196
3,weights_option,5,250,0.6826704545454545,0.6764761881212503,0.253125,0.1340886248519768
4,local_restart,5,250,0.15738636363636363,0.15128868677724513,0.27755681818181815,0.1443871065595399
5,step_size_adaptation,5,250,0.8858901515151516,0.8813633805201405,0.4076704545454545,0.28879152951975273
6,elitist,5,500,0.9380681818181819,0.9366937491339303,0.44185606060606064,0.3050641069592507
7,mirrored,5,500,0.5622159090909091,0.5529758305260424,0.25615530303030304,0.13497523253620813
8,base_sampler,5,500,0.6786931818181818,0.6755114517926344,0.2527462121212121,0.1336485787217196
9,weights_option,5,500,0.6364583333333333,0.6337642526729886,0.253125,0.1340886248519768
10,local_restart,5,500,0.18768939393939393,0.18116713069115814,0.27755681818181815,0.1443871065595399
11,step_size_adaptation,5,500,0.8982954545454547,0.8954350033689661,0.4076704545454545,0.28879152951975273
12,elitist,5,1500,0.8552083333333332,0.8522376580596689,0.44185606060606064,0.3050641069592507
13,mirrored,5,1500,0.5022727272727272,0.5013498946583032,0.25615530303030304,0.13497523253620813
14,base_sampler,5,1500,0.5706439393939394,0.5629091945089167,0.2527462121212121,0.1336485787217196
15,weights_option,5,1500,0.6023674242424242,0.5961104357487901,0.253125,0.1340886248519768
16,local_restart,5,1500,0.24659090909090908,0.2421905791155578,0.27755681818181815,0.1443871065595399
17,step_size_adaptation,5,1500,0.734375,0.7300252468984906,0.4076704545454545,0.28879152951975273
18,elitist,5,2500,0.8422348484848484,0.8377753981627677,0.44185606060606064,0.3050641069592507
19,mirrored,5,2500,0.4504734848484849,0.443294844536066,0.25615530303030304,0.13497523253620813
20,base_sampler,5,2500,0.5802083333333333,0.5747227694460333,0.2527462121212121,0.1336485787217196
21,weights_option,5,2500,0.5277462121212121,0.518977290636202,0.253125,0.1340886248519768
22,local_restart,5,2500,0.31799242424242424,0.3110281816649655,0.27755681818181815,0.1443871065595399
23,step_size_adaptation,5,2500,0.6822916666666667,0.6761968346189755,0.4076704545454545,0.28879152951975273
24,elitist,5,5000,0.8149621212121211,0.8088248818136019,0.44185606060606064,0.3050641069592507
25,mirrored,5,5000,0.38352272727272724,0.3698870924961696,0.25615530303030304,0.13497523253620813
26,base_sampler,5,5000,0.5557765151515152,0.5480565648167726,0.2527462121212121,0.1336485787217196
27,weights_option,5,5000,0.468844696969697,0.4641812339308638,0.253125,0.1340886248519768
28,local_restart,5,5000,0.45009469696969695,0.4413742984241241,0.27755681818181815,0.1443871065595399
29,step_size_adaptation,5,5000,0.5683712121212121,0.5639641894120555,0.4076704545454545,0.28879152951975273
30,elitist,5,7500,0.8300189393939394,0.8254987590345685,0.44185606060606064,0.3050641069592507
31,mirrored,5,7500,0.42301136363636366,0.41076923833044,0.25615530303030304,0.13497523253620813
32,base_sampler,5,7500,0.4850378787878788,0.459661284308415,0.2527462121212121,0.1336485787217196
33,weights_option,5,7500,0.47518939393939397,0.46455840324189585,0.253125,0.1340886248519768
34,local_restart,5,7500,0.5611742424242424,0.5509604674670865,0.27755681818181815,0.1443871065595399
35,step_size_adaptation,5,7500,0.6291666666666667,0.6248488812327047,0.4076704545454545,0.28879152951975273
36,elitist,30,1500,0.9692234848484848,0.9686276381655233,0.44185606060606064,0.3050641069592507
37,mirrored,30,1500,0.6487689393939393,0.6379006595208865,0.25615530303030304,0.13497523253620813
38,base_sampler,30,1500,0.6637310606060607,0.6524313263450142,0.2527462121212121,0.1336485787217196
39,weights_option,30,1500,0.8303030303030303,0.8249000751256318,0.253125,0.1340886248519768
40,local_restart,30,1500,0.1327651515151515,0.12875178518039826,0.27755681818181815,0.1443871065595399
41,step_size_adaptation,30,1500,0.9783143939393939,0.9777340562534249,0.4076704545454545,0.28879152951975273
42,elitist,30,3000,0.990909090909091,0.9905783568714603,0.44185606060606064,0.3050641069592507
43,mirrored,30,3000,0.6054924242424242,0.589234584681096,0.25615530303030304,0.13497523253620813
44,base_sampler,30,3000,0.6606060606060606,0.6467550731538001,0.2527462121212121,0.1336485787217196
45,weights_option,30,3000,0.8088068181818182,0.8014086248241774,0.253125,0.1340886248519768
46,local_restart,30,3000,0.18806818181818183,0.18628439961149615,0.27755681818181815,0.1443871065595399
47,step_size_adaptation,30,3000,0.9723484848484848,0.971191913487403,0.4076704545454545,0.28879152951975273
48,elitist,30,9000,0.9191287878787879,0.9167018674084746,0.44185606060606064,0.3050641069592507
49,mirrored,30,9000,0.4851325757575758,0.47920039081192406,0.25615530303030304,0.13497523253620813
50,base_sampler,30,9000,0.6364583333333333,0.6217452876289193,0.2527462121212121,0.1336485787217196
51,weights_option,30,9000,0.7004734848484848,0.6811226172058603,0.253125,0.1340886248519768
52,local_restart,30,9000,0.27206439393939397,0.26626261760173137,0.27755681818181815,0.1443871065595399
53,step_size_adaptation,30,9000,0.7283143939393939,0.7212199117529571,0.4076704545454545,0.28879152951975273
54,elitist,30,15000,0.9411931818181818,0.93974137169624,0.44185606060606064,0.3050641069592507
