,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
sobol-1500d,54.0,34.0,17.0,6.0,46.0,34.0,90.0,75.0,60.0,2.0,6.0,33.0,50.0,3.0,27.0,50.0,41.0,25.0,40.0,30.0,60.0,49.0,78.0,68.0,33.0,42.0,60.0,35.0,31.0,50.0,64.0,72.0,22.0,54.0,13.0,11.0,8.0,39.0,29.0,11.0,10.0,23.0,35.0,0.0,0.0,0.0
halton-1500d,42.0,25.0,18.0,19.0,38.0,30.0,86.0,77.0,82.0,12.0,14.0,40.0,50.0,10.0,23.0,45.0,56.0,37.0,59.0,31.0,69.0,51.0,71.0,64.0,43.0,40.0,22.0,39.0,19.0,34.0,30.0,55.0,29.0,99.0,8.0,14.0,19.0,25.0,14.0,18.0,19.0,14.0,30.0,0.0,0.0,0.0
gaussian-1500d,63.0,45.0,17.0,13.0,44.0,32.0,87.0,59.0,72.0,2.0,4.0,40.0,42.0,2.0,20.0,55.0,35.0,23.0,34.0,32.0,56.0,47.0,72.0,59.0,28.0,48.0,54.0,40.0,25.0,51.0,57.0,74.0,18.0,70.0,15.0,11.0,12.0,35.0,34.0,6.0,20.0,32.0,35.0,0.0,0.0,0.0
sobol-1000d,61.0,72.0,23.0,10.0,57.0,36.0,49.0,34.0,60.0,3.0,5.0,36.0,52.0,3.0,10.0,42.0,28.0,21.0,30.0,23.0,30.0,61.0,54.0,64.0,35.0,16.0,34.0,35.0,27.0,77.0,71.0,70.0,33.0,90.0,9.0,19.0,21.0,57.0,63.0,14.0,11.0,43.0,31.0,0.0,0.0,0.0
halton-1000d,28.0,24.0,22.0,13.0,21.0,26.0,81.0,88.0,92.0,15.0,12.0,53.0,59.0,13.0,32.0,44.0,60.0,27.0,52.0,32.0,80.0,70.0,85.0,76.0,37.0,52.0,24.0,34.0,28.0,15.0,32.0,45.0,30.0,99.0,9.0,10.0,22.0,8.0,13.0,8.0,14.0,8.0,27.0,0.0,0.0,0.0
gaussian-1000d,54.0,58.0,35.0,13.0,45.0,41.0,52.0,35.0,70.0,6.0,9.0,37.0,50.0,1.0,19.0,47.0,31.0,18.0,43.0,36.0,40.0,68.0,55.0,64.0,35.0,28.0,32.0,37.0,21.0,63.0,65.0,60.0,29.0,93.0,11.0,9.0,23.0,53.0,46.0,18.0,11.0,34.0,25.0,0.0,0.0,0.0
sobol-500d,25.0,13.0,13.0,6.0,12.0,19.0,84.0,68.0,85.0,4.0,8.0,52.0,48.0,1.0,49.0,44.0,44.0,35.0,50.0,45.0,87.0,96.0,76.0,79.0,61.0,78.0,44.0,48.0,24.0,19.0,47.0,65.0,27.0,90.0,0.0,5.0,13.0,14.0,8.0,3.0,6.0,7.0,18.0,0.0,0.0,0.0
halton-500d,22.0,9.0,4.0,14.0,6.0,25.0,99.0,86.0,86.0,7.0,28.0,54.0,63.0,9.0,52.0,48.0,48.0,27.0,55.0,51.0,100.0,83.0,74.0,77.0,52.0,58.0,24.0,41.0,27.0,24.0,23.0,41.0,18.0,96.0,6.0,7.0,10.0,5.0,6.0,12.0,14.0,2.0,27.0,0.0,0.0,0.0
gaussian-500d,17.0,9.0,7.0,3.0,8.0,31.0,84.0,74.0,78.0,7.0,2.0,51.0,50.0,3.0,58.0,53.0,46.0,43.0,51.0,52.0,82.0,98.0,70.0,70.0,77.0,65.0,41.0,36.0,13.0,22.0,50.0,67.0,32.0,95.0,0.0,3.0,12.0,11.0,14.0,9.0,4.0,4.0,18.0,0.0,0.0,0.0
sobol-300d,17.0,8.0,1.0,2.0,5.0,21.0,87.0,89.0,76.0,5.0,5.0,65.0,81.0,3.0,75.0,60.0,49.0,24.0,59.0,63.0,94.0,104.0,65.0,68.0,74.0,85.0,28.0,37.0,15.0,16.0,34.0,47.0,30.0,95.0,3.0,1.0,5.0,3.0,4.0,3.0,2.0,3.0,9.0,0.0,0.0,0.0
halton-300d,20.0,13.0,3.0,11.0,3.0,28.0,100.0,89.0,76.0,10.0,23.0,48.0,62.0,5.0,50.0,40.0,45.0,20.0,38.0,48.0,103.0,80.0,90.0,97.0,62.0,60.0,16.0,49.0,40.0,38.0,19.0,31.0,18.0,96.0,12.0,4.0,8.0,6.0,11.0,5.0,8.0,5.0,30.0,0.0,0.0,0.0
gaussian-300d,22.0,7.0,5.0,3.0,5.0,26.0,89.0,91.0,76.0,5.0,8.0,52.0,67.0,4.0,70.0,56.0,51.0,25.0,57.0,65.0,98.0,100.0,60.0,70.0,78.0,86.0,14.0,44.0,24.0,17.0,24.0,47.0,28.0,100.0,5.0,4.0,3.0,4.0,1.0,3.0,5.0,4.0,17.0,0.0,0.0,0.0
sobol-100d,37.0,8.0,5.0,2.0,22.0,29.0,95.0,99.0,76.0,0.0,3.0,63.0,76.0,0.0,41.0,63.0,61.0,15.0,5.0,46.0,107.0,105.0,81.0,87.0,46.0,93.0,39.0,59.0,47.0,14.0,4.0,14.0,43.0,66.0,20.0,1.0,5.0,12.0,3.0,3.0,4.0,6.0,15.0,0.0,0.0,0.0
halton-100d,11.0,32.0,6.0,15.0,4.0,28.0,100.0,100.0,72.0,12.0,14.0,40.0,50.0,7.0,19.0,77.0,64.0,52.0,49.0,29.0,106.0,78.0,105.0,103.0,17.0,81.0,50.0,37.0,9.0,23.0,27.0,7.0,48.0,52.0,7.0,3.0,1.0,3.0,25.0,8.0,18.0,4.0,27.0,0.0,0.0,0.0
gaussian-100d,26.0,10.0,3.0,0.0,17.0,34.0,98.0,102.0,81.0,0.0,1.0,64.0,75.0,1.0,40.0,64.0,52.0,22.0,9.0,50.0,106.0,107.0,89.0,91.0,38.0,97.0,49.0,68.0,45.0,15.0,7.0,4.0,50.0,57.0,12.0,3.0,2.0,7.0,1.0,3.0,3.0,1.0,16.0,0.0,0.0,0.0
sobol-50d,4.0,67.0,9.0,1.0,3.0,17.0,99.0,84.0,53.0,27.0,16.0,100.0,92.0,22.0,12.0,104.0,101.0,32.0,68.0,8.0,108.0,80.0,107.0,87.0,12.0,81.0,24.0,25.0,3.0,15.0,21.0,0.0,13.0,37.0,0.0,1.0,4.0,0.0,23.0,12.0,1.0,0.0,47.0,0.0,0.0,0.0
halton-50d,3.0,45.0,18.0,19.0,0.0,3.0,93.0,105.0,51.0,15.0,9.0,60.0,51.0,3.0,0.0,54.0,78.0,57.0,99.0,9.0,107.0,29.0,105.0,99.0,36.0,60.0,15.0,39.0,15.0,18.0,75.0,16.0,6.0,72.0,0.0,0.0,3.0,3.0,30.0,18.0,18.0,6.0,78.0,0.0,0.0,0.0
gaussian-50d,2.0,67.0,5.0,0.0,4.0,18.0,102.0,91.0,49.0,25.0,16.0,95.0,90.0,20.0,9.0,103.0,102.0,35.0,74.0,4.0,108.0,82.0,107.0,82.0,7.0,90.0,28.0,20.0,1.0,10.0,22.0,1.0,14.0,36.0,5.0,3.0,0.0,3.0,24.0,7.0,0.0,1.0,58.0,0.0,0.0,0.0
