,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
True-1500d,5.0,18.0,7.0,13.0,10.0,97.0,100.0,94.0,149.0,12.0,4.0,84.0,19.0,2.0,36.0,34.0,49.0,122.0,26.0,66.0,89.0,44.0,124.0,126.0,139.0,161.0,102.0,120.0,116.0,31.0,51.0,66.0,26.0,71.0,22.0,9.0,3.0,11.0,31.0,11.0,10.0,8.0,112.0,0.0,0.0,0.0
False-1500d,10.0,33.0,14.0,6.0,24.0,81.0,97.0,110.0,137.0,10.0,2.0,125.0,29.0,2.0,35.0,46.0,90.0,102.0,25.0,67.0,95.0,19.0,93.0,109.0,140.0,153.0,101.0,71.0,74.0,42.0,57.0,67.0,46.0,73.0,21.0,13.0,12.0,15.0,19.0,14.0,14.0,24.0,113.0,0.0,0.0,0.0
True-1000d,4.0,12.0,8.0,12.0,6.0,99.0,110.0,109.0,146.0,12.0,3.0,72.0,14.0,1.0,37.0,31.0,62.0,116.0,22.0,57.0,84.0,46.0,123.0,132.0,122.0,162.0,113.0,121.0,129.0,33.0,44.0,73.0,19.0,83.0,33.0,13.0,4.0,4.0,27.0,5.0,11.0,6.0,110.0,0.0,0.0,0.0
False-1000d,13.0,34.0,12.0,13.0,25.0,90.0,84.0,108.0,135.0,10.0,3.0,132.0,29.0,7.0,37.0,61.0,92.0,96.0,30.0,58.0,103.0,25.0,103.0,114.0,131.0,156.0,115.0,63.0,70.0,43.0,32.0,72.0,35.0,78.0,40.0,23.0,10.0,10.0,24.0,10.0,9.0,14.0,81.0,0.0,0.0,0.0
True-500d,11.0,34.0,14.0,9.0,5.0,76.0,85.0,83.0,134.0,14.0,7.0,76.0,32.0,1.0,40.0,27.0,53.0,114.0,47.0,54.0,109.0,19.0,128.0,124.0,90.0,155.0,146.0,77.0,105.0,77.0,42.0,119.0,21.0,110.0,60.0,22.0,14.0,5.0,20.0,14.0,15.0,8.0,34.0,0.0,0.0,0.0
False-500d,10.0,46.0,23.0,14.0,14.0,96.0,89.0,113.0,96.0,13.0,6.0,99.0,53.0,6.0,30.0,55.0,78.0,68.0,41.0,64.0,107.0,27.0,106.0,130.0,103.0,136.0,132.0,55.0,65.0,58.0,38.0,107.0,27.0,85.0,54.0,31.0,20.0,8.0,37.0,16.0,21.0,14.0,39.0,0.0,0.0,0.0
True-300d,16.0,31.0,25.0,33.0,13.0,101.0,73.0,90.0,99.0,24.0,28.0,28.0,24.0,35.0,99.0,36.0,50.0,109.0,39.0,85.0,92.0,28.0,80.0,87.0,102.0,105.0,111.0,81.0,54.0,68.0,44.0,75.0,70.0,98.0,67.0,24.0,21.0,18.0,30.0,28.0,32.0,17.0,60.0,0.0,0.0,0.0
False-300d,16.0,57.0,56.0,41.0,23.0,113.0,75.0,118.0,81.0,25.0,9.0,44.0,46.0,25.0,66.0,36.0,36.0,31.0,37.0,86.0,106.0,32.0,72.0,64.0,80.0,94.0,92.0,88.0,63.0,66.0,15.0,66.0,95.0,95.0,69.0,43.0,39.0,30.0,41.0,44.0,41.0,25.0,49.0,0.0,0.0,0.0
True-100d,10.0,28.0,37.0,15.0,21.0,54.0,136.0,131.0,127.0,34.0,25.0,47.0,27.0,8.0,68.0,51.0,66.0,40.0,38.0,111.0,66.0,76.0,83.0,85.0,125.0,132.0,137.0,64.0,52.0,43.0,18.0,120.0,60.0,136.0,30.0,10.0,25.0,3.0,25.0,12.0,16.0,2.0,36.0,0.0,0.0,0.0
False-100d,14.0,44.0,53.0,7.0,33.0,52.0,135.0,140.0,102.0,11.0,10.0,93.0,68.0,4.0,43.0,80.0,91.0,25.0,42.0,101.0,80.0,73.0,88.0,110.0,101.0,59.0,126.0,50.0,44.0,48.0,7.0,85.0,59.0,91.0,52.0,46.0,16.0,11.0,33.0,23.0,11.0,12.0,57.0,0.0,0.0,0.0
True-50d,18.0,19.0,23.0,13.0,13.0,75.0,158.0,123.0,142.0,7.0,10.0,62.0,28.0,6.0,24.0,31.0,75.0,37.0,22.0,126.0,104.0,56.0,113.0,102.0,121.0,114.0,124.0,95.0,67.0,56.0,22.0,138.0,37.0,111.0,40.0,13.0,2.0,4.0,16.0,9.0,6.0,5.0,63.0,0.0,0.0,0.0
False-50d,20.0,37.0,67.0,11.0,12.0,75.0,141.0,127.0,117.0,12.0,8.0,68.0,45.0,0.0,15.0,64.0,108.0,77.0,68.0,58.0,110.0,8.0,119.0,112.0,58.0,65.0,99.0,83.0,83.0,42.0,40.0,79.0,37.0,64.0,66.0,47.0,8.0,17.0,45.0,40.0,7.0,26.0,45.0,0.0,0.0,0.0
