,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
None-1500d,58.0,31.0,14.0,14.0,41.0,31.0,83.0,66.0,71.0,4.0,6.0,33.0,48.0,4.0,28.0,50.0,46.0,30.0,55.0,38.0,68.0,54.0,66.0,57.0,34.0,44.0,46.0,33.0,23.0,48.0,54.0,73.0,23.0,79.0,9.0,11.0,11.0,33.0,25.0,11.0,19.0,13.0,35.0,0.0,0.0,0.0
IPOP-1500d,46.0,33.0,12.0,17.0,37.0,29.0,88.0,76.0,71.0,8.0,12.0,35.0,42.0,6.0,25.0,47.0,40.0,33.0,37.0,27.0,59.0,48.0,72.0,68.0,38.0,42.0,48.0,38.0,26.0,41.0,48.0,70.0,26.0,73.0,11.0,12.0,12.0,38.0,29.0,16.0,16.0,30.0,38.0,0.0,0.0,0.0
BIPOP-1500d,55.0,40.0,26.0,7.0,50.0,36.0,92.0,69.0,72.0,4.0,6.0,45.0,52.0,5.0,17.0,53.0,46.0,22.0,41.0,28.0,58.0,45.0,83.0,66.0,32.0,44.0,42.0,43.0,26.0,46.0,49.0,58.0,20.0,71.0,16.0,13.0,16.0,28.0,23.0,8.0,14.0,26.0,27.0,0.0,0.0,0.0
None-1000d,53.0,47.0,20.0,4.0,48.0,39.0,54.0,50.0,71.0,5.0,12.0,43.0,53.0,6.0,27.0,46.0,34.0,18.0,43.0,24.0,54.0,70.0,69.0,71.0,37.0,35.0,26.0,40.0,27.0,57.0,59.0,63.0,31.0,94.0,4.0,13.0,16.0,37.0,39.0,13.0,13.0,26.0,29.0,0.0,0.0,0.0
IPOP-1000d,41.0,52.0,34.0,15.0,35.0,31.0,66.0,53.0,80.0,10.0,6.0,33.0,51.0,7.0,14.0,43.0,41.0,30.0,47.0,35.0,47.0,59.0,65.0,67.0,31.0,28.0,33.0,39.0,29.0,47.0,53.0,59.0,31.0,97.0,11.0,11.0,26.0,39.0,36.0,17.0,10.0,30.0,31.0,0.0,0.0,0.0
BIPOP-1000d,49.0,55.0,26.0,17.0,40.0,33.0,62.0,54.0,71.0,9.0,8.0,50.0,57.0,4.0,20.0,44.0,44.0,18.0,35.0,32.0,49.0,70.0,60.0,66.0,39.0,33.0,31.0,27.0,20.0,51.0,56.0,53.0,30.0,91.0,14.0,14.0,24.0,42.0,47.0,10.0,13.0,29.0,23.0,0.0,0.0,0.0
None-500d,25.0,7.0,13.0,5.0,12.0,23.0,89.0,76.0,88.0,4.0,11.0,63.0,53.0,2.0,54.0,51.0,53.0,30.0,51.0,39.0,84.0,91.0,70.0,77.0,70.0,70.0,37.0,46.0,18.0,21.0,41.0,55.0,27.0,91.0,1.0,6.0,7.0,8.0,8.0,8.0,10.0,4.0,21.0,0.0,0.0,0.0
IPOP-500d,17.0,7.0,6.0,10.0,8.0,28.0,88.0,81.0,77.0,9.0,14.0,43.0,50.0,5.0,50.0,45.0,37.0,36.0,52.0,55.0,97.0,95.0,73.0,81.0,56.0,72.0,45.0,43.0,22.0,24.0,39.0,63.0,28.0,93.0,2.0,7.0,12.0,7.0,9.0,5.0,7.0,1.0,21.0,0.0,0.0,0.0
BIPOP-500d,22.0,17.0,5.0,8.0,6.0,24.0,90.0,71.0,84.0,5.0,13.0,51.0,58.0,6.0,55.0,49.0,48.0,39.0,53.0,54.0,88.0,91.0,77.0,68.0,64.0,59.0,27.0,36.0,24.0,20.0,40.0,55.0,22.0,97.0,3.0,2.0,16.0,15.0,11.0,11.0,7.0,8.0,21.0,0.0,0.0,0.0
None-300d,22.0,10.0,4.0,5.0,9.0,25.0,93.0,93.0,81.0,7.0,10.0,55.0,68.0,3.0,63.0,51.0,49.0,21.0,43.0,56.0,99.0,95.0,71.0,80.0,73.0,77.0,20.0,41.0,26.0,19.0,27.0,44.0,27.0,96.0,6.0,1.0,10.0,5.0,6.0,5.0,3.0,4.0,17.0,0.0,0.0,0.0
IPOP-300d,17.0,8.0,2.0,6.0,3.0,32.0,90.0,89.0,73.0,7.0,11.0,56.0,68.0,4.0,73.0,53.0,40.0,24.0,54.0,58.0,98.0,94.0,74.0,77.0,70.0,78.0,17.0,43.0,28.0,29.0,18.0,42.0,29.0,93.0,9.0,4.0,4.0,6.0,4.0,2.0,6.0,7.0,20.0,0.0,0.0,0.0
BIPOP-300d,20.0,10.0,3.0,5.0,1.0,18.0,93.0,87.0,74.0,6.0,15.0,54.0,74.0,5.0,59.0,52.0,56.0,24.0,57.0,62.0,98.0,95.0,70.0,78.0,71.0,76.0,21.0,46.0,25.0,23.0,32.0,39.0,20.0,102.0,5.0,4.0,2.0,2.0,6.0,4.0,6.0,1.0,19.0,0.0,0.0,0.0
None-100d,24.0,18.0,6.0,4.0,13.0,30.0,93.0,98.0,79.0,4.0,8.0,57.0,72.0,3.0,27.0,67.0,62.0,26.0,23.0,42.0,106.0,97.0,93.0,90.0,37.0,90.0,47.0,57.0,31.0,18.0,12.0,9.0,47.0,57.0,12.0,2.0,4.0,9.0,9.0,6.0,8.0,3.0,20.0,0.0,0.0,0.0
IPOP-100d,27.0,15.0,6.0,7.0,15.0,31.0,100.0,103.0,76.0,4.0,4.0,57.0,66.0,3.0,33.0,68.0,60.0,29.0,19.0,41.0,108.0,98.0,90.0,96.0,30.0,89.0,45.0,51.0,34.0,17.0,11.0,6.0,48.0,62.0,13.0,2.0,1.0,9.0,10.0,4.0,9.0,5.0,18.0,0.0,0.0,0.0
BIPOP-100d,23.0,17.0,2.0,6.0,15.0,30.0,100.0,100.0,74.0,4.0,6.0,53.0,63.0,2.0,40.0,69.0,55.0,34.0,21.0,42.0,105.0,95.0,92.0,95.0,34.0,92.0,46.0,56.0,36.0,17.0,15.0,10.0,46.0,56.0,14.0,3.0,3.0,4.0,10.0,4.0,8.0,3.0,20.0,0.0,0.0,0.0
None-50d,3.0,57.0,10.0,6.0,3.0,13.0,96.0,94.0,45.0,21.0,13.0,83.0,75.0,20.0,8.0,86.0,92.0,42.0,80.0,11.0,108.0,67.0,106.0,88.0,20.0,77.0,25.0,27.0,6.0,16.0,40.0,6.0,11.0,49.0,1.0,2.0,2.0,1.0,27.0,12.0,7.0,2.0,62.0,0.0,0.0,0.0
IPOP-50d,2.0,60.0,11.0,6.0,3.0,9.0,99.0,94.0,53.0,21.0,12.0,85.0,80.0,12.0,6.0,85.0,95.0,39.0,78.0,5.0,108.0,62.0,107.0,91.0,18.0,79.0,22.0,31.0,8.0,13.0,40.0,5.0,13.0,52.0,2.0,1.0,4.0,2.0,27.0,13.0,6.0,2.0,59.0,0.0,0.0,0.0
BIPOP-50d,4.0,62.0,11.0,8.0,1.0,16.0,99.0,92.0,55.0,25.0,16.0,87.0,78.0,13.0,7.0,90.0,94.0,43.0,83.0,5.0,107.0,62.0,106.0,89.0,17.0,75.0,20.0,26.0,5.0,14.0,38.0,6.0,9.0,44.0,2.0,1.0,1.0,3.0,23.0,12.0,6.0,3.0,62.0,0.0,0.0,0.0
