,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
mirrored pairwise-1500d,54.0,30.0,18.0,11.0,42.0,39.0,92.0,72.0,75.0,3.0,7.0,41.0,44.0,2.0,30.0,52.0,40.0,23.0,48.0,29.0,61.0,53.0,71.0,59.0,35.0,40.0,49.0,34.0,27.0,45.0,52.0,70.0,22.0,75.0,8.0,13.0,13.0,39.0,19.0,10.0,12.0,24.0,37.0,0.0,0.0,0.0
mirrored-1500d,56.0,34.0,19.0,17.0,37.0,26.0,86.0,63.0,70.0,6.0,7.0,32.0,45.0,6.0,16.0,51.0,38.0,33.0,43.0,32.0,60.0,43.0,74.0,69.0,41.0,44.0,37.0,43.0,30.0,45.0,48.0,74.0,23.0,75.0,17.0,13.0,14.0,35.0,29.0,15.0,20.0,23.0,31.0,0.0,0.0,0.0
None-1500d,49.0,40.0,15.0,10.0,49.0,31.0,85.0,76.0,69.0,7.0,10.0,40.0,53.0,7.0,24.0,47.0,54.0,29.0,42.0,32.0,64.0,51.0,76.0,63.0,28.0,46.0,50.0,37.0,18.0,45.0,51.0,57.0,24.0,73.0,11.0,10.0,12.0,25.0,29.0,10.0,17.0,22.0,32.0,0.0,0.0,0.0
mirrored pairwise-1000d,52.0,52.0,24.0,12.0,48.0,30.0,52.0,49.0,77.0,10.0,3.0,44.0,61.0,7.0,25.0,43.0,39.0,15.0,38.0,30.0,40.0,69.0,54.0,64.0,29.0,32.0,34.0,36.0,29.0,56.0,62.0,63.0,30.0,94.0,10.0,11.0,26.0,46.0,44.0,11.0,11.0,30.0,28.0,0.0,0.0,0.0
mirrored-1000d,46.0,49.0,31.0,10.0,41.0,37.0,55.0,52.0,75.0,11.0,9.0,35.0,50.0,3.0,18.0,42.0,38.0,26.0,47.0,28.0,52.0,69.0,68.0,75.0,41.0,31.0,27.0,35.0,27.0,48.0,52.0,56.0,34.0,91.0,12.0,14.0,29.0,36.0,39.0,16.0,12.0,27.0,26.0,0.0,0.0,0.0
None-1000d,45.0,53.0,25.0,14.0,34.0,36.0,75.0,56.0,70.0,3.0,14.0,47.0,50.0,7.0,18.0,48.0,42.0,25.0,40.0,33.0,58.0,61.0,72.0,65.0,37.0,33.0,29.0,35.0,20.0,51.0,54.0,56.0,28.0,97.0,7.0,13.0,11.0,36.0,39.0,13.0,13.0,28.0,29.0,0.0,0.0,0.0
mirrored pairwise-500d,22.0,8.0,5.0,5.0,12.0,17.0,87.0,73.0,85.0,8.0,10.0,57.0,57.0,2.0,61.0,50.0,51.0,36.0,57.0,57.0,90.0,90.0,63.0,76.0,55.0,68.0,41.0,48.0,25.0,22.0,35.0,55.0,31.0,90.0,1.0,4.0,10.0,12.0,9.0,6.0,9.0,2.0,18.0,0.0,0.0,0.0
mirrored-500d,21.0,8.0,13.0,7.0,6.0,29.0,90.0,77.0,85.0,4.0,18.0,52.0,56.0,7.0,52.0,48.0,42.0,38.0,55.0,40.0,85.0,93.0,70.0,71.0,63.0,66.0,38.0,38.0,20.0,22.0,39.0,59.0,28.0,96.0,3.0,5.0,16.0,10.0,11.0,6.0,7.0,4.0,22.0,0.0,0.0,0.0
None-500d,21.0,15.0,6.0,11.0,8.0,29.0,90.0,78.0,79.0,6.0,10.0,48.0,48.0,4.0,46.0,47.0,45.0,31.0,44.0,51.0,94.0,94.0,87.0,79.0,72.0,67.0,30.0,39.0,19.0,21.0,46.0,59.0,18.0,95.0,2.0,6.0,9.0,8.0,8.0,12.0,8.0,7.0,23.0,0.0,0.0,0.0
mirrored pairwise-300d,13.0,15.0,2.0,8.0,4.0,22.0,90.0,90.0,79.0,8.0,4.0,52.0,67.0,5.0,63.0,44.0,54.0,28.0,58.0,64.0,98.0,90.0,62.0,77.0,72.0,84.0,18.0,47.0,32.0,27.0,26.0,33.0,30.0,99.0,10.0,4.0,4.0,4.0,6.0,1.0,4.0,3.0,19.0,0.0,0.0,0.0
