,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
psr-1500d,8.0,21.0,10.0,5.0,15.0,93.0,99.0,106.0,140.0,13.0,3.0,108.0,29.0,3.0,38.0,42.0,62.0,110.0,25.0,60.0,89.0,31.0,110.0,109.0,144.0,158.0,102.0,104.0,91.0,42.0,46.0,66.0,40.0,69.0,23.0,15.0,8.0,15.0,23.0,9.0,10.0,15.0,121.0,0.0,0.0,0.0
csa-1500d,7.0,30.0,11.0,14.0,19.0,85.0,98.0,98.0,146.0,9.0,3.0,101.0,19.0,1.0,33.0,38.0,77.0,114.0,26.0,73.0,95.0,32.0,107.0,126.0,135.0,156.0,101.0,87.0,99.0,31.0,62.0,67.0,32.0,75.0,20.0,7.0,7.0,11.0,27.0,16.0,14.0,17.0,104.0,0.0,0.0,0.0
psr-1000d,8.0,21.0,11.0,13.0,14.0,98.0,97.0,102.0,137.0,12.0,3.0,100.0,22.0,5.0,38.0,53.0,71.0,113.0,27.0,53.0,100.0,34.0,111.0,118.0,130.0,161.0,113.0,94.0,97.0,38.0,25.0,81.0,32.0,82.0,37.0,16.0,5.0,5.0,33.0,6.0,11.0,8.0,95.0,0.0,0.0,0.0
csa-1000d,9.0,25.0,9.0,12.0,17.0,91.0,97.0,115.0,144.0,10.0,3.0,104.0,21.0,3.0,36.0,39.0,83.0,99.0,25.0,62.0,87.0,37.0,115.0,128.0,123.0,157.0,115.0,90.0,102.0,38.0,51.0,64.0,22.0,79.0,36.0,20.0,9.0,9.0,18.0,9.0,9.0,12.0,96.0,0.0,0.0,0.0
psr-500d,11.0,37.0,13.0,12.0,9.0,100.0,91.0,100.0,104.0,8.0,9.0,88.0,44.0,7.0,30.0,49.0,57.0,71.0,43.0,62.0,110.0,15.0,112.0,125.0,100.0,147.0,134.0,74.0,77.0,69.0,44.0,121.0,27.0,94.0,58.0,25.0,20.0,8.0,39.0,18.0,20.0,14.0,34.0,0.0,0.0,0.0
csa-500d,10.0,43.0,24.0,11.0,10.0,72.0,83.0,96.0,126.0,19.0,4.0,87.0,41.0,0.0,40.0,33.0,74.0,111.0,45.0,56.0,106.0,31.0,122.0,129.0,93.0,144.0,144.0,58.0,93.0,66.0,36.0,105.0,21.0,101.0,56.0,28.0,14.0,5.0,18.0,12.0,16.0,8.0,39.0,0.0,0.0,0.0
psr-300d,7.0,44.0,45.0,45.0,19.0,108.0,64.0,109.0,83.0,28.0,21.0,28.0,41.0,44.0,70.0,42.0,33.0,60.0,44.0,91.0,102.0,33.0,72.0,60.0,81.0,91.0,84.0,85.0,64.0,72.0,24.0,65.0,88.0,99.0,78.0,30.0,37.0,26.0,39.0,46.0,41.0,24.0,63.0,0.0,0.0,0.0
csa-300d,25.0,44.0,36.0,29.0,17.0,106.0,84.0,99.0,97.0,21.0,16.0,44.0,29.0,16.0,95.0,30.0,53.0,80.0,32.0,80.0,96.0,27.0,80.0,91.0,101.0,108.0,119.0,84.0,53.0,62.0,35.0,76.0,77.0,94.0,58.0,37.0,23.0,22.0,32.0,26.0,32.0,18.0,46.0,0.0,0.0,0.0
psr-100d,13.0,42.0,53.0,13.0,21.0,44.0,146.0,138.0,122.0,26.0,8.0,91.0,52.0,5.0,49.0,74.0,71.0,26.0,38.0,93.0,76.0,63.0,84.0,97.0,105.0,95.0,142.0,56.0,41.0,40.0,12.0,100.0,54.0,109.0,51.0,34.0,23.0,5.0,30.0,17.0,13.0,7.0,51.0,0.0,0.0,0.0
csa-100d,11.0,30.0,37.0,9.0,33.0,62.0,125.0,133.0,107.0,19.0,27.0,49.0,43.0,7.0,62.0,57.0,86.0,39.0,42.0,119.0,70.0,86.0,87.0,98.0,121.0,96.0,121.0,58.0,55.0,51.0,13.0,105.0,65.0,118.0,31.0,22.0,18.0,9.0,28.0,18.0,14.0,7.0,42.0,0.0,0.0,0.0
psr-50d,18.0,36.0,49.0,13.0,3.0,81.0,149.0,125.0,117.0,5.0,8.0,64.0,33.0,3.0,24.0,54.0,86.0,62.0,31.0,98.0,126.0,18.0,141.0,121.0,91.0,103.0,112.0,81.0,53.0,38.0,35.0,99.0,25.0,60.0,52.0,31.0,6.0,8.0,40.0,33.0,5.0,20.0,73.0,0.0,0.0,0.0
csa-50d,20.0,20.0,41.0,11.0,22.0,69.0,150.0,125.0,142.0,14.0,10.0,66.0,40.0,3.0,15.0,41.0,97.0,52.0,59.0,86.0,88.0,46.0,91.0,93.0,88.0,76.0,111.0,97.0,97.0,60.0,27.0,118.0,49.0,115.0,54.0,29.0,4.0,13.0,21.0,16.0,8.0,11.0,35.0,0.0,0.0,0.0
