,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
equal-1500d,55.0,50.0,33.0,25.0,37.0,48.0,96.0,84.0,74.0,16.0,28.0,60.0,56.0,20.0,32.0,58.0,60.0,44.0,72.0,55.0,79.0,75.0,83.0,82.0,51.0,64.0,62.0,59.0,44.0,55.0,49.0,81.0,37.0,84.0,20.0,21.0,26.0,23.0,37.0,17.0,25.0,14.0,69.0,0.0,0.0,0.0
default-1500d,60.0,42.0,24.0,21.0,65.0,49.0,98.0,86.0,73.0,17.0,16.0,49.0,64.0,15.0,39.0,67.0,61.0,42.0,65.0,48.0,70.0,66.0,82.0,83.0,45.0,77.0,61.0,50.0,40.0,57.0,72.0,71.0,33.0,78.0,23.0,18.0,17.0,53.0,37.0,20.0,33.0,31.0,42.0,0.0,0.0,0.0
1/2^lambda-1500d,73.0,56.0,36.0,18.0,67.0,59.0,86.0,65.0,89.0,13.0,7.0,56.0,61.0,11.0,44.0,62.0,41.0,30.0,45.0,35.0,66.0,63.0,72.0,58.0,43.0,48.0,48.0,49.0,42.0,74.0,76.0,83.0,47.0,92.0,31.0,37.0,27.0,67.0,56.0,26.0,25.0,49.0,27.0,0.0,0.0,0.0
equal-1000d,42.0,64.0,36.0,23.0,44.0,36.0,77.0,66.0,74.0,19.0,26.0,51.0,59.0,17.0,34.0,55.0,53.0,41.0,76.0,59.0,81.0,88.0,74.0,68.0,76.0,61.0,40.0,39.0,46.0,49.0,48.0,73.0,39.0,101.0,23.0,27.0,30.0,41.0,56.0,31.0,21.0,38.0,58.0,0.0,0.0,0.0
default-1000d,68.0,69.0,50.0,23.0,58.0,53.0,75.0,57.0,84.0,8.0,17.0,64.0,69.0,10.0,29.0,65.0,61.0,28.0,54.0,42.0,49.0,85.0,69.0,79.0,47.0,32.0,42.0,45.0,29.0,75.0,75.0,77.0,43.0,93.0,17.0,42.0,29.0,56.0,60.0,39.0,21.0,40.0,32.0,0.0,0.0,0.0
1/2^lambda-1000d,71.0,69.0,43.0,19.0,55.0,65.0,67.0,64.0,89.0,14.0,6.0,64.0,70.0,14.0,36.0,62.0,52.0,28.0,47.0,35.0,50.0,88.0,76.0,88.0,27.0,41.0,48.0,68.0,34.0,72.0,65.0,57.0,45.0,101.0,22.0,23.0,31.0,53.0,66.0,31.0,27.0,48.0,29.0,0.0,0.0,0.0
equal-500d,32.0,25.0,13.0,13.0,14.0,46.0,88.0,92.0,100.0,25.0,32.0,72.0,72.0,12.0,67.0,67.0,71.0,37.0,64.0,59.0,101.0,97.0,88.0,97.0,72.0,83.0,53.0,59.0,37.0,27.0,31.0,73.0,58.0,101.0,9.0,17.0,26.0,17.0,22.0,21.0,16.0,16.0,38.0,0.0,0.0,0.0
default-500d,39.0,28.0,15.0,21.0,23.0,51.0,100.0,90.0,90.0,13.0,20.0,58.0,68.0,13.0,74.0,59.0,62.0,57.0,76.0,69.0,99.0,93.0,89.0,74.0,80.0,82.0,53.0,47.0,35.0,41.0,63.0,69.0,39.0,96.0,10.0,7.0,15.0,27.0,23.0,22.0,16.0,12.0,42.0,0.0,0.0,0.0
1/2^lambda-500d,46.0,18.0,19.0,13.0,17.0,49.0,98.0,84.0,94.0,13.0,20.0,69.0,68.0,16.0,69.0,63.0,63.0,45.0,77.0,67.0,96.0,102.0,77.0,88.0,86.0,84.0,47.0,62.0,32.0,48.0,65.0,69.0,45.0,102.0,8.0,15.0,19.0,18.0,15.0,17.0,16.0,12.0,29.0,0.0,0.0,0.0
equal-300d,33.0,11.0,8.0,14.0,12.0,43.0,91.0,90.0,90.0,15.0,27.0,70.0,83.0,15.0,74.0,77.0,79.0,38.0,66.0,72.0,107.0,98.0,89.0,90.0,81.0,97.0,36.0,58.0,60.0,53.0,23.0,62.0,49.0,105.0,19.0,8.0,13.0,15.0,14.0,7.0,11.0,14.0,43.0,0.0,0.0,0.0
