,conf,dim,budget,train_r2,test_r2
0,10,5,250,0.985634675837192,0.9270902133600029
1,10,5,500,0.9706573081274146,0.8562997537772199
2,10,5,1500,0.8734537594716105,0.5906782855699818
3,10,5,2500,0.9641335430489185,0.7717445061853253
4,10,5,5000,0.9469851160479379,0.7591829434328197
5,10,5,7500,0.965242969487711,0.7914682002551687
6,10,30,1500,0.9811899897570113,0.912862214763347
7,10,30,3000,0.967959038281394,0.8427013530049556
8,10,30,9000,0.9370812137432247,0.5825441285077246
9,10,30,15000,0.9618047773441685,0.8241348745732117
10,10,30,30000,0.9447019496737015,0.7432117871334929
11,10,30,45000,0.9683931715151042,0.8629045828006656
