,module,dim,budget,acc,f1,acc_d,f1_d
0,mutation_base,5,250,0.8054748941318814,0.8058309057241045,0.28466424682395647,0.14757509100407443
1,mutation_reference,5,250,0.40108892921960065,0.39596679993691786,0.1927707199032063,0.0806344255811107
2,mutation_n_comps,5,250,0.7880520266182697,0.7846154163751976,0.46173623714458556,0.31556350852707415
3,use_archive,5,250,0.7101633393829401,0.7051103772892005,0.4304900181488203,0.3004110561476776
4,crossover,5,250,0.7223532970356927,0.7163471419992993,0.42707199032062915,0.29847864469074786
5,adaptation_method,5,250,0.282637628554144,0.27870850564156924,0.28109497882637624,0.14605931188836843
6,lpsr,5,250,0.9965214761040532,0.9964592802295048,0.46709013914095576,0.31823716597874796
7,mutation_base,5,500,0.8298548094373868,0.8280904170777879,0.28466424682395647,0.14757509100407443
8,mutation_reference,5,500,0.425287356321839,0.42561747069574835,0.1927707199032063,0.0806344255811107
9,mutation_n_comps,5,500,0.7917422867513612,0.7899749213088082,0.46173623714458556,0.31556350852707415
10,use_archive,5,500,0.746551724137931,0.7409657165675985,0.4304900181488203,0.3004110561476776
11,crossover,5,500,0.798638838475499,0.7921326397218307,0.42707199032062915,0.29847864469074786
12,adaptation_method,5,500,0.31076830006049605,0.30507052854472627,0.28109497882637624,0.14605931188836843
13,lpsr,5,500,0.9913188142770719,0.9912374828912114,0.46709013914095576,0.31823716597874796
14,mutation_base,5,1500,0.8263460375075619,0.8259329390339557,0.28466424682395647,0.14757509100407443
15,mutation_reference,5,1500,0.36152450090744104,0.362156115014467,0.1927707199032063,0.0806344255811107
16,mutation_n_comps,5,1500,0.8108590441621294,0.8089509080441598,0.46173623714458556,0.31556350852707415
17,use_archive,5,1500,0.7775862068965518,0.7726852177673008,0.4304900181488203,0.3004110561476776
18,crossover,5,1500,0.8074712643678161,0.8015963064905787,0.42707199032062915,0.29847864469074786
19,adaptation_method,5,1500,0.4807622504537206,0.47255946172851704,0.28109497882637624,0.14605931188836843
20,lpsr,5,1500,0.9843315184513006,0.9842351281412697,0.46709013914095576,0.31823716597874796
21,mutation_base,5,2500,0.8575015124016939,0.8573695206753038,0.28466424682395647,0.14757509100407443
22,mutation_reference,5,2500,0.40837870538415,0.4025588180983678,0.1927707199032063,0.0806344255811107
23,mutation_n_comps,5,2500,0.8073200241984271,0.8061761152573956,0.46173623714458556,0.31556350852707415
24,use_archive,5,2500,0.8211131276467031,0.8171134109983642,0.4304900181488203,0.3004110561476776
25,crossover,5,2500,0.8333635813672112,0.8296919810358772,0.42707199032062915,0.29847864469074786
26,adaptation_method,5,2500,0.49984875983061094,0.49202797652223956,0.28109497882637624,0.14605931188836843
27,lpsr,5,2500,0.9895341802782818,0.9894860342533264,0.46709013914095576,0.31823716597874796
28,mutation_base,5,5000,0.859286146400484,0.8575294269411728,0.28466424682395647,0.14757509100407443
29,mutation_reference,5,5000,0.39606775559588625,0.3880246223202716,0.1927707199032063,0.0806344255811107
30,mutation_n_comps,5,5000,0.7983968542044767,0.7969001822790053,0.46173623714458556,0.31556350852707415
31,use_archive,5,5000,0.8368118572292801,0.833308186550078,0.4304900181488203,0.3004110561476776
32,crossover,5,5000,0.8700544464609801,0.8672791196941262,0.42707199032062915,0.29847864469074786
33,adaptation_method,5,5000,0.558983666061706,0.5536654566615627,0.28109497882637624,0.14605931188836843
34,lpsr,5,5000,0.9843920145190562,0.9842983001336272,0.46709013914095576,0.31823716597874796
35,mutation_base,5,7500,0.8731397459165156,0.8709552014968752,0.28466424682395647,0.14757509100407443
36,mutation_reference,5,7500,0.4165759225650333,0.41602544777350114,0.1927707199032063,0.0806344255811107
37,mutation_n_comps,5,7500,0.8333333333333334,0.8322175744837812,0.46173623714458556,0.31556350852707415
38,use_archive,5,7500,0.859437386569873,0.8563718546582664,0.4304900181488203,0.3004110561476776
39,crossover,5,7500,0.8402601330913491,0.836018117325169,0.42707199032062915,0.29847864469074786
40,adaptation_method,5,7500,0.5938898971566847,0.5900668078642868,0.28109497882637624,0.14605931188836843
41,lpsr,5,7500,0.9843920145190562,0.9842326262613248,0.46709013914095576,0.31823716597874796
42,mutation_base,30,1500,0.8749848759830611,0.8726675391381301,0.28466424682395647,0.14757509100407443
43,mutation_reference,30,1500,0.37861464004839684,0.37951362065061145,0.1927707199032063,0.0806344255811107
44,mutation_n_comps,30,1500,0.8213853599516032,0.820222880125679,0.46173623714458556,0.31556350852707415
45,use_archive,30,1500,0.7362068965517241,0.729650695359267,0.4304900181488203,0.3004110561476776
46,crossover,30,1500,0.9878100423472475,0.9875676379924203,0.42707199032062915,0.29847864469074786
