,module,dim,budget,acc,f1
0,mutation_base,5,250,0.28466424682395647,0.14757509100407443
1,mutation_base,5,500,0.28466424682395647,0.14757509100407443
2,mutation_base,5,1500,0.28466424682395647,0.14757509100407443
3,mutation_base,5,2500,0.28466424682395647,0.14757509100407443
4,mutation_base,5,5000,0.28466424682395647,0.14757509100407443
5,mutation_base,5,7500,0.28466424682395647,0.14757509100407443
6,mutation_base,30,1500,0.28466424682395647,0.14757509100407443
7,mutation_base,30,3000,0.28466424682395647,0.14757509100407443
8,mutation_base,30,9000,0.28466424682395647,0.14757509100407443
9,mutation_base,30,15000,0.28466424682395647,0.14757509100407443
10,mutation_base,30,30000,0.28466424682395647,0.14757509100407443
11,mutation_base,30,45000,0.28466424682395647,0.14757509100407443
12,mutation_reference,5,250,0.1927707199032063,0.0806344255811107
13,mutation_reference,5,500,0.1927707199032063,0.0806344255811107
14,mutation_reference,5,1500,0.1927707199032063,0.0806344255811107
15,mutation_reference,5,2500,0.1927707199032063,0.0806344255811107
16,mutation_reference,5,5000,0.1927707199032063,0.0806344255811107
17,mutation_reference,5,7500,0.1927707199032063,0.0806344255811107
18,mutation_reference,30,1500,0.1927707199032063,0.0806344255811107
19,mutation_reference,30,3000,0.1927707199032063,0.0806344255811107
20,mutation_reference,30,9000,0.1927707199032063,0.0806344255811107
21,mutation_reference,30,15000,0.1927707199032063,0.0806344255811107
22,mutation_reference,30,30000,0.1927707199032063,0.0806344255811107
23,mutation_reference,30,45000,0.1927707199032063,0.0806344255811107
24,mutation_n_comps,5,250,0.46173623714458556,0.31556350852707415
25,mutation_n_comps,5,500,0.46173623714458556,0.31556350852707415
26,mutation_n_comps,5,1500,0.46173623714458556,0.31556350852707415
27,mutation_n_comps,5,2500,0.46173623714458556,0.31556350852707415
28,mutation_n_comps,5,5000,0.46173623714458556,0.31556350852707415
29,mutation_n_comps,5,7500,0.46173623714458556,0.31556350852707415
30,mutation_n_comps,30,1500,0.46173623714458556,0.31556350852707415
31,mutation_n_comps,30,3000,0.46173623714458556,0.31556350852707415
32,mutation_n_comps,30,9000,0.46173623714458556,0.31556350852707415
33,mutation_n_comps,30,15000,0.46173623714458556,0.31556350852707415
34,mutation_n_comps,30,30000,0.46173623714458556,0.31556350852707415
35,mutation_n_comps,30,45000,0.46173623714458556,0.31556350852707415
36,use_archive,5,250,0.4304900181488203,0.3004110561476776
37,use_archive,5,500,0.4304900181488203,0.3004110561476776
38,use_archive,5,1500,0.4304900181488203,0.3004110561476776
39,use_archive,5,2500,0.4304900181488203,0.3004110561476776
40,use_archive,5,5000,0.4304900181488203,0.3004110561476776
41,use_archive,5,7500,0.4304900181488203,0.3004110561476776
42,use_archive,30,1500,0.4304900181488203,0.3004110561476776
43,use_archive,30,3000,0.4304900181488203,0.3004110561476776
44,use_archive,30,9000,0.4304900181488203,0.3004110561476776
45,use_archive,30,15000,0.4304900181488203,0.3004110561476776
46,use_archive,30,30000,0.4304900181488203,0.3004110561476776
47,use_archive,30,45000,0.4304900181488203,0.3004110561476776
48,crossover,5,250,0.42707199032062915,0.29847864469074786
49,crossover,5,500,0.42707199032062915,0.29847864469074786
50,crossover,5,1500,0.42707199032062915,0.29847864469074786
51,crossover,5,2500,0.42707199032062915,0.29847864469074786
52,crossover,5,5000,0.42707199032062915,0.29847864469074786
53,crossover,5,7500,0.42707199032062915,0.29847864469074786
54,crossover,30,1500,0.42707199032062915,0.29847864469074786
55,crossover,30,3000,0.42707199032062915,0.29847864469074786
56,crossover,30,9000,0.42707199032062915,0.29847864469074786
57,crossover,30,15000,0.42707199032062915,0.29847864469074786
58,crossover,30,30000,0.42707199032062915,0.29847864469074786
59,crossover,30,45000,0.42707199032062915,0.29847864469074786
60,adaptation_method,5,250,0.28109497882637624,0.14605931188836843
61,adaptation_method,5,500,0.28109497882637624,0.14605931188836843
62,adaptation_method,5,1500,0.28109497882637624,0.14605931188836843
63,adaptation_method,5,2500,0.28109497882637624,0.14605931188836843
64,adaptation_method,5,5000,0.28109497882637624,0.14605931188836843
65,adaptation_method,5,7500,0.28109497882637624,0.14605931188836843
66,adaptation_method,30,1500,0.28109497882637624,0.14605931188836843
67,adaptation_method,30,3000,0.28109497882637624,0.14605931188836843
68,adaptation_method,30,9000,0.28109497882637624,0.14605931188836843
69,adaptation_method,30,15000,0.28109497882637624,0.14605931188836843
70,adaptation_method,30,30000,0.28109497882637624,0.14605931188836843
71,adaptation_method,30,45000,0.28109497882637624,0.14605931188836843
72,lpsr,5,250,0.46709013914095576,0.31823716597874796
73,lpsr,5,500,0.46709013914095576,0.31823716597874796
74,lpsr,5,1500,0.46709013914095576,0.31823716597874796
75,lpsr,5,2500,0.46709013914095576,0.31823716597874796
76,lpsr,5,5000,0.46709013914095576,0.31823716597874796
77,lpsr,5,7500,0.46709013914095576,0.31823716597874796
78,lpsr,30,1500,0.46709013914095576,0.31823716597874796
79,lpsr,30,3000,0.46709013914095576,0.31823716597874796
80,lpsr,30,9000,0.46709013914095576,0.31823716597874796
81,lpsr,30,15000,0.46709013914095576,0.31823716597874796
82,lpsr,30,30000,0.46709013914095576,0.31823716597874796
83,lpsr,30,45000,0.46709013914095576,0.31823716597874796
