,module,dim,budget,acc,f1,acc_d,f1_d
0,mutation_base,5,250,0.5795825771324864,0.5704495544800292,0.28466424682395647,0.14757509100407443
1,mutation_base,5,500,0.6142468239564429,0.6100431186059369,0.28466424682395647,0.14757509100407443
2,mutation_base,5,1500,0.6231699939503932,0.6204651630568833,0.28466424682395647,0.14757509100407443
3,mutation_base,5,2500,0.5796733212341199,0.5788037000500008,0.28466424682395647,0.14757509100407443
4,mutation_base,5,5000,0.6059891107078039,0.6021410527200187,0.28466424682395647,0.14757509100407443
5,mutation_base,5,7500,0.6545674531155475,0.6524866342229221,0.28466424682395647,0.14757509100407443
6,mutation_base,30,1500,0.5277676950998185,0.5256914975210977,0.28466424682395647,0.14757509100407443
7,mutation_base,30,3000,0.6320629159104658,0.6310275758989764,0.28466424682395647,0.14757509100407443
8,mutation_base,30,9000,0.6993647912885661,0.6961829900879787,0.28466424682395647,0.14757509100407443
9,mutation_base,30,15000,0.6820024198427103,0.681627441705871,0.28466424682395647,0.14757509100407443
10,mutation_base,30,30000,0.6351179673321234,0.6334819108906982,0.28466424682395647,0.14757509100407443
11,mutation_base,30,45000,0.6388082274652147,0.6368590963053379,0.28466424682395647,0.14757509100407443
12,mutation_reference,5,250,0.3071990320629159,0.30531614083810965,0.1927707199032063,0.0806344255811107
13,mutation_reference,5,500,0.3630973986690865,0.35469900322779746,0.1927707199032063,0.0806344255811107
14,mutation_reference,5,1500,0.29519056261343013,0.29377032726610725,0.1927707199032063,0.0806344255811107
15,mutation_reference,5,2500,0.28826376285541444,0.2819907516616036,0.1927707199032063,0.0806344255811107
16,mutation_reference,5,5000,0.323049001814882,0.3217823773567784,0.1927707199032063,0.0806344255811107
17,mutation_reference,5,7500,0.32132486388384757,0.3119244060269063,0.1927707199032063,0.0806344255811107
18,mutation_reference,30,1500,0.2863581367211131,0.2783265793009892,0.1927707199032063,0.0806344255811107
19,mutation_reference,30,3000,0.282940108892922,0.2777283966977012,0.1927707199032063,0.0806344255811107
20,mutation_reference,30,9000,0.32643678160919537,0.3202908655243971,0.1927707199032063,0.0806344255811107
21,mutation_reference,30,15000,0.25862068965517243,0.24716505542539027,0.1927707199032063,0.0806344255811107
22,mutation_reference,30,30000,0.2729280096793708,0.2656967320378435,0.1927707199032063,0.0806344255811107
23,mutation_reference,30,45000,0.3003327283726558,0.29963012665921523,0.1927707199032063,0.0806344255811107
24,mutation_n_comps,5,250,0.6404416212946158,0.6384207269436981,0.46173623714458556,0.31556350852707415
25,mutation_n_comps,5,500,0.6578947368421052,0.6552436346878097,0.46173623714458556,0.31556350852707415
26,mutation_n_comps,5,1500,0.6354204476709013,0.6293556832512677,0.46173623714458556,0.31556350852707415
27,mutation_n_comps,5,2500,0.6490925589836661,0.647917185060199,0.46173623714458556,0.31556350852707415
28,mutation_n_comps,5,5000,0.6560496067755597,0.6537239306651944,0.46173623714458556,0.31556350852707415
29,mutation_n_comps,5,7500,0.6579249848759832,0.6552075332261594,0.46173623714458556,0.31556350852707415
30,mutation_n_comps,30,1500,0.5762552934059285,0.5747144508725964,0.46173623714458556,0.31556350852707415
31,mutation_n_comps,30,3000,0.6299153055051422,0.6284518855798573,0.46173623714458556,0.31556350852707415
32,mutation_n_comps,30,9000,0.6338173018753781,0.6304187749860289,0.46173623714458556,0.31556350852707415
33,mutation_n_comps,30,15000,0.6299153055051423,0.6276808147190654,0.46173623714458556,0.31556350852707415
34,mutation_n_comps,30,30000,0.6370538415003024,0.6310782691164748,0.46173623714458556,0.31556350852707415
35,mutation_n_comps,30,45000,0.6318511796733212,0.6288677247458615,0.46173623714458556,0.31556350852707415
36,use_archive,5,250,0.6234119782214156,0.619808300849239,0.4304900181488203,0.3004110561476776
37,use_archive,5,500,0.6008469449485783,0.5970455816796078,0.4304900181488203,0.3004110561476776
38,use_archive,5,1500,0.6302177858439202,0.6277470312558966,0.4304900181488203,0.3004110561476776
39,use_archive,5,2500,0.6441923774954629,0.6404465269205616,0.4304900181488203,0.3004110561476776
40,use_archive,5,5000,0.6856926799758016,0.6812476371879125,0.4304900181488203,0.3004110561476776
41,use_archive,5,7500,0.6825468844525105,0.6785087963273442,0.4304900181488203,0.3004110561476776
42,use_archive,30,1500,0.5313067150635209,0.5280738866676778,0.4304900181488203,0.3004110561476776
43,use_archive,30,3000,0.553720508166969,0.5501393749923912,0.4304900181488203,0.3004110561476776
44,use_archive,30,9000,0.5764065335753177,0.5716797057732207,0.4304900181488203,0.3004110561476776
45,use_archive,30,15000,0.5869933454325469,0.582465002188439,0.4304900181488203,0.3004110561476776
46,use_archive,30,30000,0.5607380520266183,0.5565274381020535,0.4304900181488203,0.3004110561476776
47,use_archive,30,45000,0.5189050211736237,0.5169148291072971,0.4304900181488203,0.3004110561476776
48,crossover,5,250,0.5312462189957652,0.5273244890866824,0.42707199032062915,0.29847864469074786
49,crossover,5,500,0.5643375680580762,0.5623476286265479,0.42707199032062915,0.29847864469074786
50,crossover,5,1500,0.5986388384754991,0.5954784890982993,0.42707199032062915,0.29847864469074786
51,crossover,5,2500,0.658227465214761,0.652724312762462,0.42707199032062915,0.29847864469074786
52,crossover,5,5000,0.6457955232909861,0.6425552860709166,0.42707199032062915,0.29847864469074786
53,crossover,5,7500,0.6963097398669087,0.689235633565376,0.42707199032062915,0.29847864469074786
54,crossover,30,1500,0.7690865093768905,0.763794257243485,0.42707199032062915,0.29847864469074786
55,crossover,30,3000,0.8158197217180883,0.8116740896252772,0.42707199032062915,0.29847864469074786
56,crossover,30,9000,0.8400181488203267,0.8344325772186576,0.42707199032062915,0.29847864469074786
57,crossover,30,15000,0.8886872353297036,0.8847867178802652,0.42707199032062915,0.29847864469074786
58,crossover,30,30000,0.8921960072595281,0.8895174542178259,0.42707199032062915,0.29847864469074786
59,crossover,30,45000,0.8992135511191772,0.8960876374393083,0.42707199032062915,0.29847864469074786
60,adaptation_method,5,250,0.33009679370840894,0.3284978061573264,0.28109497882637624,0.14605931188836843
61,adaptation_method,5,500,0.30556563823351485,0.3007294795988417,0.28109497882637624,0.14605931188836843
62,adaptation_method,5,1500,0.3905928614640048,0.38524764311995546,0.28109497882637624,0.14605931188836843
63,adaptation_method,5,2500,0.367967332123412,0.3651476359775632,0.28109497882637624,0.14605931188836843
64,adaptation_method,5,5000,0.4514216575922565,0.44781580410457844,0.28109497882637624,0.14605931188836843
65,adaptation_method,5,7500,0.4635813672111313,0.4573049129952733,0.28109497882637624,0.14605931188836843
66,adaptation_method,30,1500,0.3611615245009075,0.35917971205526145,0.28109497882637624,0.14605931188836843
67,adaptation_method,30,3000,0.4236842105263158,0.4192205035812321,0.28109497882637624,0.14605931188836843
68,adaptation_method,30,9000,0.4287961282516636,0.4269154653046946,0.28109497882637624,0.14605931188836843
69,adaptation_method,30,15000,0.4614337568058076,0.4550139761249007,0.28109497882637624,0.14605931188836843
70,adaptation_method,30,30000,0.5155474894131882,0.5104387209648696,0.28109497882637624,0.14605931188836843
71,adaptation_method,30,45000,0.5294615849969752,0.5228788955572192,0.28109497882637624,0.14605931188836843
72,lpsr,5,250,0.9722020568663036,0.9720704315634812,0.46709013914095576,0.31823716597874796
73,lpsr,5,500,0.9722625529340592,0.9720664879276677,0.46709013914095576,0.31823716597874796
74,lpsr,5,1500,0.9687840290381124,0.9686061726875167,0.46709013914095576,0.31823716597874796
75,lpsr,5,2500,0.9809437386569873,0.9808086682647691,0.46709013914095576,0.31823716597874796
76,lpsr,5,5000,0.9704476709013914,0.9701507777180917,0.46709013914095576,0.31823716597874796
77,lpsr,5,7500,0.932183908045977,0.9316081257947,0.46709013914095576,0.31823716597874796
78,lpsr,30,1500,0.8991228070175439,0.8979702279453334,0.46709013914095576,0.31823716597874796
79,lpsr,30,3000,0.9132183908045978,0.9124664920984189,0.46709013914095576,0.31823716597874796
80,lpsr,30,9000,0.9009981851179674,0.9003088801320909,0.46709013914095576,0.31823716597874796
81,lpsr,30,15000,0.8955837870538413,0.8945323629753557,0.46709013914095576,0.31823716597874796
82,lpsr,30,30000,0.880096793708409,0.8792003926626736,0.46709013914095576,0.31823716597874796
83,lpsr,30,45000,0.8853599516031458,0.8843474387749464,0.46709013914095576,0.31823716597874796
