,module,dim,budget,acc,f1,acc_d,f1_d
0,mutation_base,5,250,0.5761343012704174,0.5707328666843652,0.28466424682395647,0.14757509100407443
1,mutation_reference,5,250,0.3488808227465215,0.3458272242147177,0.1927707199032063,0.0806344255811107
2,mutation_n_comps,5,250,0.6299455535390199,0.625635567395405,0.46173623714458556,0.31556350852707415
3,use_archive,5,250,0.6303085299455535,0.6263010151916996,0.4304900181488203,0.3004110561476776
4,crossover,5,250,0.5261645493042952,0.5185526362279903,0.42707199032062915,0.29847864469074786
5,adaptation_method,5,250,0.2830913490623109,0.27885887709891205,0.28109497882637624,0.14605931188836843
6,lpsr,5,250,0.9670296430732002,0.9668390380641334,0.46709013914095576,0.31823716597874796
7,mutation_base,5,500,0.6266182698124623,0.6240879889971674,0.28466424682395647,0.14757509100407443
8,mutation_reference,5,500,0.34555353901996366,0.33640014407802965,0.1927707199032063,0.0806344255811107
9,mutation_n_comps,5,500,0.689050211736237,0.6866279073806393,0.46173623714458556,0.31556350852707415
10,use_archive,5,500,0.5763762855414398,0.5708243710895117,0.4304900181488203,0.3004110561476776
11,crossover,5,500,0.5748336358136721,0.566415678501847,0.42707199032062915,0.29847864469074786
12,adaptation_method,5,500,0.3262250453720509,0.32542474947821165,0.28109497882637624,0.14605931188836843
13,lpsr,5,500,0.9653357531760435,0.965011667885674,0.46709013914095576,0.31823716597874796
14,mutation_base,5,1500,0.5745009074410163,0.571943934519269,0.28466424682395647,0.14757509100407443
15,mutation_reference,5,1500,0.3418632788868724,0.3328283180726234,0.1927707199032063,0.0806344255811107
16,mutation_n_comps,5,1500,0.6439806412583182,0.6427836792498836,0.46173623714458556,0.31556350852707415
17,use_archive,5,1500,0.6213551119177254,0.6178682141638657,0.4304900181488203,0.3004110561476776
18,crossover,5,1500,0.6233212341197822,0.6209843650569029,0.42707199032062915,0.29847864469074786
19,adaptation_method,5,1500,0.3575317604355717,0.3549834245351836,0.28109497882637624,0.14605931188836843
20,lpsr,5,1500,0.9722323049001813,0.9721058140610062,0.46709013914095576,0.31823716597874796
21,mutation_base,5,2500,0.6006654567453116,0.5984785006320913,0.28466424682395647,0.14757509100407443
22,mutation_reference,5,2500,0.29007864488808227,0.2752900584843533,0.1927707199032063,0.0806344255811107
23,mutation_n_comps,5,2500,0.640713853599516,0.638247498495404,0.46173623714458556,0.31556350852707415
24,use_archive,5,2500,0.6491530550514216,0.6472005146132556,0.4304900181488203,0.3004110561476776
25,crossover,5,2500,0.6233212341197822,0.620235978222903,0.42707199032062915,0.29847864469074786
26,adaptation_method,5,2500,0.37683000604960676,0.37479104649964656,0.28109497882637624,0.14605931188836843
27,lpsr,5,2500,0.9671203871748336,0.9667284940347418,0.46709013914095576,0.31823716597874796
28,mutation_base,5,5000,0.6353599516031458,0.6316705639610602,0.28466424682395647,0.14757509100407443
29,mutation_reference,5,5000,0.322897761645493,0.3136500372317137,0.1927707199032063,0.0806344255811107
30,mutation_n_comps,5,5000,0.6562613430127041,0.653661134637374,0.46173623714458556,0.31556350852707415
31,use_archive,5,5000,0.6631881427707198,0.6583082199661467,0.4304900181488203,0.3004110561476776
32,crossover,5,5000,0.6095583787053841,0.6059808288839224,0.42707199032062915,0.29847864469074786
33,adaptation_method,5,5000,0.402843315184513,0.40159778725240036,0.28109497882637624,0.14605931188836843
34,lpsr,5,5000,0.9669691470054447,0.9665933879144782,0.46709013914095576,0.31823716597874796
35,mutation_base,5,7500,0.661373260738052,0.6589614815324851,0.28466424682395647,0.14757509100407443
36,mutation_reference,5,7500,0.30565638233514825,0.2859353325174746,0.1927707199032063,0.0806344255811107
37,mutation_n_comps,5,7500,0.6406533575317603,0.6355468498512239,0.46173623714458556,0.31556350852707415
38,use_archive,5,7500,0.6632788868723533,0.6582470542338843,0.4304900181488203,0.3004110561476776
39,crossover,5,7500,0.6893829401088929,0.680764036907221,0.42707199032062915,0.29847864469074786
40,adaptation_method,5,7500,0.42728372655777375,0.42373118888475664,0.28109497882637624,0.14605931188836843
41,lpsr,5,7500,0.9321839080459771,0.9316270379440208,0.46709013914095576,0.31823716597874796
42,mutation_base,30,1500,0.558832425892317,0.5504429678421052,0.28466424682395647,0.14757509100407443
43,mutation_reference,30,1500,0.2987598306110103,0.2882997899019125,0.1927707199032063,0.0806344255811107
44,mutation_n_comps,30,1500,0.5452510586811858,0.5440082039808195,0.46173623714458556,0.31556350852707415
45,use_archive,30,1500,0.5553841500302481,0.5522521280312236,0.4304900181488203,0.3004110561476776
46,crossover,30,1500,0.7796733212341198,0.7740105876483967,0.42707199032062915,0.29847864469074786
47,adaptation_method,30,1500,0.364519056261343,0.3584176478281168,0.28109497882637624,0.14605931188836843
48,lpsr,30,1500,0.916606170598911,0.9156975694266605,0.46709013914095576,0.31823716597874796
49,mutation_base,30,3000,0.6320931639443436,0.6272597185040828,0.28466424682395647,0.14757509100407443
50,mutation_reference,30,3000,0.2742891712038717,0.26493111841143985,0.1927707199032063,0.0806344255811107
51,mutation_n_comps,30,3000,0.6370235934664247,0.6353483273624915,0.46173623714458556,0.31556350852707415
52,use_archive,30,3000,0.6059891107078041,0.6026016740620593,0.4304900181488203,0.3004110561476776
53,crossover,30,3000,0.8212038717483363,0.8159475632714551,0.42707199032062915,0.29847864469074786
54,adaptation_method,30,3000,0.3609497882637629,0.35768502598596635,0.28109497882637624,0.14605931188836843
55,lpsr,30,3000,0.9045069570477919,0.9037630189158918,0.46709013914095576,0.31823716597874796
56,mutation_base,30,9000,0.7011191772534786,0.6996960223614488,0.28466424682395647,0.14757509100407443
57,mutation_reference,30,9000,0.32649727767695097,0.3114153380229635,0.1927707199032063,0.0806344255811107
58,mutation_n_comps,30,9000,0.635329703569268,0.6322046730086858,0.46173623714458556,0.31556350852707415
59,use_archive,30,9000,0.597307924984876,0.5924185633782363,0.4304900181488203,0.3004110561476776
60,crossover,30,9000,0.8261645493042952,0.8211096609175709,0.42707199032062915,0.29847864469074786
61,adaptation_method,30,9000,0.46503327283726553,0.46201182797029006,0.28109497882637624,0.14605931188836843
62,lpsr,30,9000,0.9078947368421051,0.907329785122242,0.46709013914095576,0.31823716597874796
63,mutation_base,30,15000,0.6614035087719297,0.6572322720154351,0.28466424682395647,0.14757509100407443
64,mutation_reference,30,15000,0.2883545069570478,0.2710116775693439,0.1927707199032063,0.0806344255811107
65,mutation_n_comps,30,15000,0.6404416212946158,0.6386755298558513,0.46173623714458556,0.31556350852707415
66,use_archive,30,15000,0.5920447670901391,0.5888122391990539,0.4304900181488203,0.3004110561476776
67,crossover,30,15000,0.905989110707804,0.9026339565911814,0.42707199032062915,0.29847864469074786
68,adaptation_method,30,15000,0.4722020568663036,0.4669648902125222,0.28109497882637624,0.14605931188836843
69,lpsr,30,15000,0.8991833030852995,0.8981682794339028,0.46709013914095576,0.31823716597874796
70,mutation_base,30,30000,0.6146400483968543,0.6098632459640239,0.28466424682395647,0.14757509100407443
71,mutation_reference,30,30000,0.29183303085299456,0.28224800440973363,0.1927707199032063,0.0806344255811107
72,mutation_n_comps,30,30000,0.6318511796733212,0.6270421647493016,0.46173623714458556,0.31556350852707415
73,use_archive,30,30000,0.5905323653962492,0.5876428958529211,0.4304900181488203,0.3004110561476776
74,crossover,30,30000,0.8991833030852995,0.8969778755803215,0.42707199032062915,0.29847864469074786
75,adaptation_method,30,30000,0.472323049001815,0.46410571156130853,0.28109497882637624,0.14605931188836843
76,lpsr,30,30000,0.8940108892921959,0.8929427976086541,0.46709013914095576,0.31823716597874796
77,mutation_base,30,45000,0.6197822141560799,0.6180976905594825,0.28466424682395647,0.14757509100407443
78,mutation_reference,30,45000,0.3125226860254084,0.3012225650657704,0.1927707199032063,0.0806344255811107
79,mutation_n_comps,30,45000,0.6667876588021778,0.6609626410742678,0.46173623714458556,0.31556350852707415
80,use_archive,30,45000,0.5228070175438596,0.5208224748108159,0.4304900181488203,0.3004110561476776
81,crossover,30,45000,0.8939201451905625,0.8914586829494416,0.42707199032062915,0.29847864469074786
82,adaptation_method,30,45000,0.5156079854809438,0.5074738936982305,0.28109497882637624,0.14605931188836843
83,lpsr,30,45000,0.87664851784634,0.8757644740023889,0.46709013914095576,0.31823716597874796
