,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
True-1500d,5.0,12.0,5.0,12.0,28.0,39.0,217.0,210.0,102.0,8.0,9.0,70.0,31.0,7.0,87.0,57.0,45.0,48.0,107.0,111.0,149.0,91.0,219.0,130.0,133.0,117.0,43.0,77.0,23.0,31.0,67.0,200.0,69.0,215.0,3.0,5.0,9.0,7.0,6.0,5.0,5.0,9.0,57.0,0.0,0.0,0.0
False-1500d,8.0,9.0,4.0,6.0,33.0,33.0,215.0,206.0,104.0,5.0,9.0,50.0,33.0,3.0,73.0,35.0,44.0,61.0,131.0,117.0,163.0,101.0,224.0,149.0,128.0,135.0,45.0,69.0,26.0,33.0,80.0,190.0,64.0,205.0,4.0,7.0,8.0,8.0,2.0,5.0,3.0,5.0,47.0,0.0,0.0,0.0
True-1000d,6.0,4.0,8.0,14.0,39.0,24.0,221.0,221.0,102.0,6.0,5.0,52.0,25.0,3.0,69.0,28.0,36.0,35.0,125.0,124.0,135.0,83.0,236.0,167.0,129.0,155.0,44.0,51.0,18.0,46.0,82.0,203.0,48.0,217.0,2.0,12.0,8.0,13.0,8.0,2.0,8.0,17.0,49.0,0.0,0.0,0.0
False-1000d,5.0,8.0,8.0,14.0,31.0,39.0,222.0,207.0,117.0,1.0,7.0,33.0,35.0,3.0,57.0,43.0,46.0,46.0,151.0,118.0,148.0,79.0,219.0,160.0,136.0,163.0,42.0,60.0,21.0,35.0,86.0,175.0,56.0,205.0,2.0,8.0,8.0,16.0,4.0,4.0,7.0,9.0,46.0,0.0,0.0,0.0
True-500d,3.0,8.0,2.0,37.0,19.0,28.0,235.0,231.0,104.0,2.0,4.0,49.0,34.0,4.0,46.0,36.0,71.0,52.0,158.0,109.0,173.0,46.0,207.0,183.0,130.0,143.0,51.0,72.0,18.0,29.0,87.0,124.0,60.0,199.0,4.0,7.0,12.0,7.0,8.0,4.0,35.0,9.0,40.0,0.0,0.0,0.0
False-500d,8.0,13.0,8.0,47.0,12.0,19.0,223.0,229.0,114.0,0.0,4.0,44.0,37.0,1.0,28.0,38.0,73.0,59.0,167.0,102.0,175.0,60.0,206.0,180.0,128.0,139.0,51.0,86.0,18.0,27.0,84.0,118.0,37.0,206.0,5.0,5.0,7.0,6.0,8.0,2.0,40.0,7.0,59.0,0.0,0.0,0.0
True-300d,8.0,9.0,10.0,39.0,15.0,38.0,228.0,211.0,112.0,1.0,2.0,50.0,34.0,2.0,18.0,35.0,106.0,76.0,179.0,76.0,203.0,35.0,229.0,169.0,85.0,134.0,52.0,100.0,20.0,29.0,121.0,99.0,29.0,177.0,4.0,9.0,11.0,15.0,5.0,9.0,38.0,4.0,54.0,0.0,0.0,0.0
False-300d,6.0,11.0,12.0,26.0,22.0,29.0,212.0,200.0,134.0,3.0,4.0,49.0,43.0,2.0,6.0,58.0,121.0,98.0,168.0,67.0,183.0,41.0,234.0,175.0,74.0,152.0,46.0,87.0,25.0,45.0,122.0,96.0,34.0,160.0,3.0,6.0,3.0,18.0,7.0,6.0,25.0,8.0,59.0,0.0,0.0,0.0
True-100d,2.0,7.0,7.0,24.0,9.0,28.0,208.0,185.0,146.0,3.0,10.0,51.0,34.0,2.0,1.0,29.0,154.0,93.0,263.0,95.0,173.0,26.0,234.0,177.0,58.0,164.0,63.0,67.0,19.0,42.0,144.0,23.0,20.0,155.0,3.0,6.0,2.0,12.0,7.0,3.0,19.0,4.0,108.0,0.0,0.0,0.0
False-100d,1.0,11.0,8.0,22.0,15.0,21.0,203.0,200.0,138.0,2.0,4.0,49.0,24.0,0.0,0.0,39.0,158.0,114.0,264.0,67.0,174.0,18.0,233.0,186.0,54.0,169.0,66.0,70.0,24.0,23.0,140.0,23.0,23.0,154.0,1.0,4.0,3.0,8.0,7.0,1.0,25.0,3.0,131.0,0.0,0.0,0.0
True-50d,4.0,11.0,13.0,31.0,11.0,29.0,216.0,185.0,147.0,4.0,4.0,37.0,34.0,2.0,0.0,19.0,193.0,116.0,257.0,44.0,206.0,6.0,242.0,193.0,19.0,149.0,52.0,57.0,19.0,44.0,170.0,14.0,22.0,115.0,2.0,11.0,2.0,11.0,13.0,6.0,30.0,4.0,136.0,0.0,0.0,0.0
False-50d,4.0,11.0,8.0,13.0,7.0,32.0,219.0,194.0,165.0,3.0,3.0,43.0,31.0,1.0,1.0,28.0,190.0,116.0,269.0,36.0,197.0,5.0,241.0,191.0,21.0,146.0,53.0,53.0,16.0,39.0,162.0,18.0,12.0,130.0,5.0,3.0,1.0,7.0,14.0,0.0,14.0,5.0,173.0,0.0,0.0,0.0
