,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
exp-1500d,20.0,52.0,30.0,40.0,20.0,205.0,239.0,199.0,185.0,28.0,15.0,44.0,39.0,11.0,28.0,53.0,62.0,68.0,102.0,148.0,127.0,137.0,229.0,148.0,177.0,255.0,114.0,193.0,180.0,217.0,27.0,211.0,104.0,195.0,61.0,43.0,36.0,8.0,46.0,24.0,27.0,25.0,148.0,0.0,0.0,0.0
bin-1500d,24.0,56.0,43.0,40.0,24.0,176.0,219.0,158.0,194.0,20.0,14.0,62.0,56.0,18.0,25.0,63.0,92.0,76.0,115.0,162.0,140.0,97.0,224.0,130.0,186.0,254.0,136.0,180.0,155.0,184.0,32.0,206.0,108.0,173.0,70.0,51.0,58.0,20.0,39.0,40.0,41.0,30.0,129.0,0.0,0.0,0.0
exp-1000d,25.0,55.0,38.0,42.0,19.0,204.0,245.0,189.0,194.0,18.0,7.0,50.0,38.0,4.0,26.0,48.0,60.0,52.0,98.0,159.0,152.0,103.0,234.0,138.0,188.0,257.0,116.0,178.0,169.0,181.0,32.0,223.0,114.0,181.0,65.0,44.0,47.0,14.0,51.0,38.0,41.0,25.0,158.0,0.0,0.0,0.0
bin-1000d,21.0,58.0,44.0,35.0,22.0,195.0,232.0,186.0,200.0,25.0,10.0,70.0,66.0,19.0,26.0,58.0,93.0,54.0,98.0,174.0,167.0,67.0,219.0,120.0,179.0,254.0,151.0,172.0,155.0,170.0,27.0,224.0,96.0,199.0,78.0,40.0,42.0,15.0,51.0,35.0,28.0,27.0,118.0,0.0,0.0,0.0
exp-500d,12.0,49.0,62.0,29.0,15.0,181.0,245.0,211.0,213.0,13.0,5.0,43.0,47.0,8.0,30.0,42.0,57.0,74.0,95.0,178.0,197.0,82.0,225.0,206.0,214.0,202.0,159.0,140.0,122.0,112.0,60.0,227.0,159.0,209.0,75.0,19.0,32.0,19.0,62.0,25.0,25.0,23.0,117.0,0.0,0.0,0.0
bin-500d,18.0,69.0,77.0,25.0,14.0,175.0,242.0,232.0,209.0,14.0,10.0,58.0,57.0,14.0,33.0,93.0,77.0,38.0,122.0,169.0,184.0,54.0,217.0,166.0,193.0,220.0,168.0,156.0,141.0,124.0,35.0,211.0,118.0,199.0,81.0,26.0,35.0,17.0,61.0,24.0,16.0,25.0,103.0,0.0,0.0,0.0
exp-300d,12.0,54.0,65.0,20.0,30.0,188.0,258.0,241.0,231.0,18.0,6.0,48.0,69.0,14.0,18.0,84.0,52.0,95.0,135.0,157.0,195.0,83.0,206.0,202.0,223.0,157.0,190.0,135.0,123.0,94.0,38.0,213.0,122.0,214.0,77.0,19.0,11.0,15.0,52.0,14.0,18.0,31.0,93.0,0.0,0.0,0.0
bin-300d,18.0,47.0,77.0,22.0,13.0,182.0,262.0,230.0,224.0,12.0,8.0,68.0,89.0,3.0,20.0,94.0,70.0,52.0,145.0,170.0,188.0,57.0,218.0,178.0,219.0,197.0,174.0,123.0,143.0,110.0,27.0,212.0,106.0,218.0,82.0,19.0,20.0,12.0,57.0,20.0,11.0,24.0,99.0,0.0,0.0,0.0
exp-100d,10.0,36.0,39.0,9.0,16.0,222.0,275.0,249.0,209.0,4.0,7.0,130.0,127.0,5.0,7.0,130.0,125.0,35.0,119.0,153.0,208.0,30.0,269.0,152.0,150.0,158.0,122.0,198.0,200.0,128.0,16.0,157.0,99.0,216.0,31.0,11.0,8.0,14.0,36.0,13.0,7.0,13.0,177.0,0.0,0.0,0.0
bin-100d,14.0,31.0,56.0,7.0,15.0,203.0,276.0,246.0,213.0,7.0,6.0,129.0,141.0,4.0,1.0,119.0,117.0,34.0,128.0,160.0,222.0,24.0,262.0,152.0,168.0,151.0,144.0,177.0,171.0,113.0,24.0,164.0,80.0,203.0,54.0,10.0,20.0,7.0,48.0,18.0,10.0,25.0,166.0,0.0,0.0,0.0
exp-50d,15.0,38.0,45.0,14.0,14.0,251.0,269.0,247.0,205.0,5.0,3.0,131.0,102.0,7.0,6.0,147.0,141.0,48.0,128.0,156.0,244.0,20.0,267.0,225.0,130.0,116.0,150.0,162.0,166.0,114.0,12.0,131.0,98.0,170.0,39.0,9.0,11.0,8.0,29.0,6.0,6.0,14.0,221.0,0.0,0.0,0.0
bin-50d,17.0,31.0,48.0,13.0,8.0,245.0,266.0,253.0,212.0,2.0,1.0,131.0,110.0,5.0,4.0,141.0,131.0,56.0,121.0,160.0,236.0,18.0,265.0,224.0,141.0,116.0,148.0,146.0,152.0,111.0,21.0,135.0,118.0,175.0,45.0,8.0,9.0,13.0,35.0,10.0,9.0,11.0,219.0,0.0,0.0,0.0
