,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
2-1500d,22.0,25.0,8.0,35.0,90.0,73.0,243.0,235.0,162.0,19.0,28.0,137.0,80.0,13.0,89.0,91.0,81.0,98.0,180.0,181.0,207.0,150.0,251.0,174.0,177.0,187.0,107.0,99.0,67.0,78.0,126.0,213.0,111.0,239.0,10.0,25.0,17.0,23.0,18.0,16.0,23.0,24.0,88.0,0.0,0.0,0.0
1-1500d,20.0,26.0,17.0,25.0,46.0,94.0,239.0,234.0,138.0,31.0,34.0,134.0,91.0,13.0,122.0,91.0,90.0,116.0,142.0,133.0,201.0,133.0,242.0,200.0,188.0,159.0,99.0,141.0,66.0,77.0,117.0,227.0,121.0,246.0,12.0,11.0,28.0,21.0,18.0,16.0,14.0,15.0,132.0,0.0,0.0,0.0
2-1000d,27.0,21.0,18.0,37.0,67.0,83.0,245.0,247.0,151.0,18.0,19.0,113.0,73.0,12.0,78.0,72.0,81.0,91.0,192.0,174.0,195.0,155.0,260.0,214.0,182.0,195.0,125.0,107.0,65.0,97.0,137.0,202.0,92.0,230.0,8.0,20.0,14.0,38.0,17.0,13.0,29.0,22.0,84.0,0.0,0.0,0.0
1-1000d,25.0,25.0,14.0,35.0,75.0,58.0,250.0,231.0,167.0,23.0,23.0,98.0,67.0,11.0,98.0,87.0,82.0,100.0,182.0,148.0,202.0,139.0,249.0,201.0,174.0,189.0,101.0,103.0,67.0,91.0,136.0,229.0,104.0,252.0,11.0,18.0,18.0,31.0,27.0,16.0,29.0,28.0,106.0,0.0,0.0,0.0
2-500d,20.0,42.0,20.0,84.0,47.0,79.0,259.0,255.0,150.0,5.0,4.0,99.0,66.0,11.0,54.0,98.0,116.0,98.0,207.0,154.0,218.0,100.0,227.0,225.0,151.0,177.0,108.0,137.0,56.0,76.0,146.0,149.0,79.0,234.0,21.0,7.0,37.0,29.0,50.0,16.0,86.0,28.0,95.0,0.0,0.0,0.0
1-500d,21.0,43.0,18.0,51.0,36.0,82.0,241.0,252.0,170.0,12.0,19.0,107.0,91.0,5.0,68.0,94.0,116.0,109.0,200.0,141.0,232.0,107.0,235.0,223.0,160.0,189.0,98.0,135.0,68.0,76.0,128.0,145.0,105.0,237.0,15.0,22.0,13.0,21.0,31.0,13.0,51.0,20.0,120.0,0.0,0.0,0.0
2-300d,31.0,26.0,29.0,69.0,39.0,87.0,248.0,236.0,174.0,8.0,13.0,100.0,94.0,4.0,24.0,85.0,142.0,147.0,228.0,127.0,230.0,80.0,255.0,205.0,116.0,207.0,132.0,124.0,73.0,75.0,166.0,125.0,66.0,206.0,9.0,19.0,18.0,30.0,32.0,29.0,73.0,26.0,113.0,0.0,0.0,0.0
1-300d,31.0,38.0,30.0,57.0,33.0,84.0,242.0,234.0,182.0,14.0,11.0,123.0,90.0,12.0,29.0,106.0,158.0,144.0,211.0,106.0,248.0,73.0,250.0,214.0,112.0,171.0,107.0,136.0,57.0,81.0,175.0,119.0,75.0,217.0,16.0,16.0,12.0,32.0,35.0,21.0,65.0,23.0,130.0,0.0,0.0,0.0
2-100d,15.0,32.0,23.0,48.0,41.0,94.0,239.0,223.0,190.0,7.0,24.0,110.0,75.0,11.0,2.0,79.0,181.0,148.0,280.0,128.0,218.0,51.0,261.0,221.0,93.0,233.0,133.0,139.0,72.0,81.0,182.0,44.0,59.0,206.0,17.0,13.0,13.0,24.0,32.0,17.0,60.0,24.0,177.0,0.0,0.0,0.0
1-100d,13.0,34.0,24.0,49.0,34.0,78.0,241.0,229.0,191.0,10.0,23.0,116.0,85.0,6.0,7.0,87.0,190.0,167.0,284.0,110.0,221.0,68.0,253.0,217.0,84.0,202.0,155.0,102.0,50.0,67.0,204.0,65.0,70.0,213.0,9.0,16.0,14.0,18.0,31.0,17.0,45.0,22.0,199.0,0.0,0.0,0.0
2-50d,17.0,38.0,27.0,48.0,26.0,74.0,247.0,223.0,213.0,8.0,31.0,86.0,95.0,6.0,3.0,73.0,228.0,171.0,278.0,87.0,225.0,20.0,265.0,224.0,54.0,220.0,113.0,125.0,67.0,96.0,204.0,43.0,53.0,197.0,21.0,21.0,17.0,26.0,50.0,20.0,52.0,18.0,210.0,0.0,0.0,0.0
1-50d,25.0,38.0,33.0,47.0,18.0,82.0,242.0,226.0,186.0,10.0,22.0,109.0,110.0,6.0,7.0,91.0,233.0,196.0,281.0,83.0,225.0,15.0,254.0,223.0,38.0,196.0,123.0,126.0,58.0,76.0,221.0,49.0,54.0,176.0,13.0,25.0,14.0,19.0,46.0,24.0,67.0,23.0,210.0,0.0,0.0,0.0
