,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
rand-1500d,9.0,22.0,16.0,26.0,8.0,93.0,119.0,92.0,94.0,14.0,4.0,25.0,19.0,8.0,12.0,32.0,40.0,33.0,54.0,76.0,65.0,56.0,116.0,68.0,98.0,126.0,53.0,103.0,90.0,106.0,9.0,101.0,52.0,95.0,31.0,27.0,25.0,3.0,20.0,18.0,25.0,10.0,67.0,0.0,0.0,0.0
pbest-1500d,12.0,35.0,23.0,22.0,11.0,92.0,103.0,89.0,95.0,11.0,7.0,28.0,32.0,9.0,10.0,31.0,44.0,28.0,59.0,71.0,63.0,53.0,107.0,68.0,86.0,126.0,64.0,96.0,75.0,109.0,15.0,105.0,47.0,93.0,37.0,25.0,26.0,9.0,18.0,22.0,18.0,18.0,68.0,0.0,0.0,0.0
best-1500d,16.0,31.0,19.0,23.0,18.0,96.0,114.0,83.0,89.0,13.0,7.0,31.0,24.0,4.0,15.0,31.0,39.0,39.0,60.0,78.0,69.0,67.0,110.0,68.0,82.0,129.0,60.0,84.0,84.0,98.0,14.0,96.0,55.0,78.0,35.0,25.0,29.0,12.0,27.0,13.0,14.0,13.0,68.0,0.0,0.0,0.0
None-1500d,7.0,20.0,15.0,9.0,7.0,100.0,122.0,93.0,101.0,10.0,11.0,22.0,20.0,8.0,16.0,22.0,31.0,44.0,44.0,85.0,70.0,58.0,120.0,74.0,97.0,128.0,73.0,90.0,86.0,88.0,21.0,115.0,58.0,102.0,28.0,17.0,14.0,4.0,20.0,11.0,11.0,14.0,74.0,0.0,0.0,0.0
rand-1000d,10.0,22.0,24.0,30.0,10.0,94.0,122.0,90.0,97.0,14.0,3.0,25.0,22.0,1.0,15.0,25.0,36.0,27.0,59.0,79.0,83.0,43.0,113.0,62.0,94.0,127.0,60.0,90.0,85.0,92.0,10.0,105.0,52.0,91.0,40.0,27.0,23.0,7.0,32.0,23.0,22.0,11.0,63.0,0.0,0.0,0.0
pbest-1000d,13.0,35.0,21.0,19.0,11.0,99.0,121.0,107.0,97.0,8.0,3.0,31.0,29.0,12.0,12.0,30.0,36.0,24.0,43.0,74.0,72.0,47.0,112.0,60.0,89.0,124.0,62.0,94.0,80.0,88.0,13.0,117.0,48.0,98.0,34.0,26.0,23.0,8.0,24.0,15.0,15.0,12.0,74.0,0.0,0.0,0.0
best-1000d,12.0,36.0,17.0,19.0,11.0,102.0,114.0,89.0,98.0,8.0,8.0,37.0,27.0,8.0,10.0,27.0,39.0,23.0,42.0,89.0,70.0,41.0,110.0,62.0,86.0,132.0,73.0,84.0,86.0,94.0,16.0,117.0,51.0,98.0,35.0,16.0,22.0,8.0,24.0,20.0,18.0,15.0,66.0,0.0,0.0,0.0
None-1000d,11.0,20.0,20.0,9.0,9.0,104.0,120.0,89.0,102.0,13.0,3.0,27.0,26.0,2.0,15.0,24.0,42.0,32.0,52.0,91.0,94.0,39.0,118.0,74.0,98.0,128.0,72.0,82.0,73.0,77.0,20.0,108.0,59.0,93.0,34.0,15.0,21.0,6.0,22.0,15.0,14.0,14.0,73.0,0.0,0.0,0.0
rand-500d,6.0,23.0,33.0,14.0,5.0,89.0,121.0,114.0,107.0,7.0,5.0,25.0,18.0,10.0,18.0,37.0,26.0,27.0,43.0,84.0,92.0,33.0,113.0,94.0,105.0,103.0,76.0,73.0,65.0,66.0,23.0,109.0,71.0,106.0,36.0,9.0,23.0,13.0,35.0,17.0,15.0,19.0,52.0,0.0,0.0,0.0
pbest-500d,13.0,32.0,31.0,12.0,10.0,85.0,120.0,114.0,100.0,11.0,3.0,28.0,28.0,2.0,13.0,33.0,31.0,38.0,60.0,89.0,95.0,33.0,103.0,86.0,107.0,109.0,85.0,73.0,63.0,46.0,27.0,112.0,77.0,105.0,41.0,16.0,18.0,6.0,25.0,11.0,7.0,7.0,55.0,0.0,0.0,0.0
best-500d,6.0,35.0,38.0,13.0,3.0,89.0,122.0,106.0,101.0,2.0,1.0,23.0,29.0,6.0,15.0,33.0,29.0,28.0,56.0,94.0,98.0,39.0,112.0,103.0,104.0,104.0,86.0,71.0,63.0,58.0,22.0,106.0,71.0,98.0,40.0,13.0,17.0,7.0,29.0,8.0,11.0,11.0,60.0,0.0,0.0,0.0
None-500d,5.0,28.0,37.0,15.0,11.0,93.0,124.0,109.0,114.0,7.0,6.0,25.0,29.0,4.0,17.0,32.0,48.0,19.0,58.0,80.0,96.0,31.0,114.0,89.0,91.0,106.0,80.0,79.0,72.0,66.0,23.0,111.0,58.0,99.0,39.0,7.0,9.0,10.0,34.0,13.0,8.0,11.0,53.0,0.0,0.0,0.0
rand-300d,7.0,25.0,28.0,7.0,11.0,94.0,133.0,119.0,116.0,9.0,6.0,36.0,37.0,4.0,11.0,47.0,28.0,45.0,69.0,83.0,98.0,43.0,95.0,90.0,116.0,71.0,96.0,68.0,64.0,54.0,18.0,108.0,68.0,109.0,36.0,4.0,5.0,5.0,25.0,8.0,5.0,10.0,49.0,0.0,0.0,0.0
pbest-300d,6.0,28.0,40.0,14.0,14.0,91.0,129.0,120.0,109.0,9.0,2.0,26.0,39.0,5.0,10.0,42.0,30.0,33.0,74.0,82.0,92.0,31.0,100.0,93.0,110.0,90.0,95.0,65.0,66.0,50.0,16.0,106.0,58.0,104.0,39.0,12.0,6.0,9.0,33.0,12.0,11.0,15.0,44.0,0.0,0.0,0.0
best-300d,10.0,28.0,39.0,14.0,6.0,92.0,129.0,124.0,115.0,6.0,4.0,27.0,40.0,5.0,9.0,47.0,30.0,33.0,70.0,85.0,95.0,39.0,108.0,95.0,112.0,93.0,91.0,45.0,66.0,50.0,23.0,102.0,51.0,109.0,43.0,12.0,10.0,6.0,24.0,7.0,6.0,12.0,48.0,0.0,0.0,0.0
None-300d,7.0,20.0,35.0,7.0,12.0,93.0,129.0,108.0,115.0,6.0,2.0,27.0,42.0,3.0,8.0,42.0,34.0,36.0,67.0,77.0,98.0,27.0,121.0,102.0,104.0,100.0,82.0,80.0,70.0,50.0,8.0,109.0,51.0,110.0,41.0,10.0,10.0,7.0,27.0,7.0,7.0,18.0,51.0,0.0,0.0,0.0
rand-100d,6.0,16.0,23.0,5.0,5.0,113.0,142.0,121.0,105.0,5.0,2.0,71.0,69.0,3.0,3.0,70.0,59.0,11.0,63.0,84.0,106.0,17.0,133.0,75.0,77.0,81.0,59.0,94.0,101.0,66.0,5.0,77.0,44.0,103.0,16.0,5.0,5.0,4.0,14.0,5.0,4.0,2.0,91.0,0.0,0.0,0.0
pbest-100d,6.0,16.0,25.0,4.0,9.0,104.0,138.0,125.0,113.0,3.0,4.0,57.0,76.0,3.0,3.0,59.0,60.0,14.0,72.0,72.0,105.0,10.0,132.0,71.0,80.0,78.0,70.0,99.0,89.0,57.0,11.0,84.0,47.0,108.0,18.0,4.0,7.0,4.0,21.0,7.0,6.0,9.0,80.0,0.0,0.0,0.0
best-100d,7.0,22.0,18.0,3.0,8.0,98.0,139.0,125.0,108.0,2.0,4.0,63.0,56.0,2.0,1.0,47.0,59.0,27.0,58.0,80.0,107.0,12.0,134.0,64.0,79.0,83.0,67.0,96.0,91.0,72.0,17.0,85.0,44.0,101.0,28.0,7.0,9.0,6.0,25.0,10.0,4.0,14.0,78.0,0.0,0.0,0.0
None-100d,5.0,13.0,29.0,4.0,9.0,110.0,132.0,124.0,96.0,1.0,3.0,68.0,67.0,1.0,1.0,73.0,64.0,17.0,54.0,77.0,112.0,15.0,132.0,94.0,82.0,67.0,70.0,86.0,90.0,46.0,7.0,75.0,44.0,107.0,23.0,5.0,7.0,7.0,24.0,9.0,3.0,13.0,94.0,0.0,0.0,0.0
rand-50d,8.0,12.0,16.0,9.0,3.0,126.0,136.0,127.0,107.0,2.0,2.0,70.0,60.0,4.0,2.0,73.0,69.0,23.0,67.0,78.0,111.0,13.0,132.0,105.0,71.0,60.0,77.0,88.0,82.0,59.0,4.0,67.0,59.0,84.0,14.0,1.0,1.0,4.0,9.0,4.0,3.0,5.0,113.0,0.0,0.0,0.0
pbest-50d,11.0,18.0,29.0,7.0,3.0,128.0,137.0,122.0,106.0,0.0,1.0,63.0,44.0,2.0,2.0,66.0,68.0,30.0,57.0,84.0,125.0,7.0,132.0,112.0,69.0,53.0,72.0,77.0,87.0,62.0,13.0,66.0,53.0,85.0,17.0,5.0,3.0,7.0,18.0,1.0,4.0,5.0,109.0,0.0,0.0,0.0
best-50d,7.0,18.0,20.0,4.0,10.0,119.0,133.0,119.0,99.0,3.0,1.0,58.0,50.0,2.0,2.0,69.0,59.0,31.0,70.0,83.0,120.0,10.0,132.0,117.0,77.0,69.0,72.0,66.0,75.0,56.0,11.0,65.0,59.0,81.0,27.0,7.0,7.0,3.0,18.0,5.0,7.0,9.0,110.0,0.0,0.0,0.0
None-50d,6.0,21.0,28.0,7.0,6.0,123.0,129.0,132.0,105.0,2.0,0.0,71.0,58.0,4.0,4.0,80.0,76.0,20.0,55.0,71.0,124.0,8.0,136.0,115.0,54.0,50.0,77.0,77.0,74.0,48.0,5.0,68.0,45.0,95.0,26.0,4.0,9.0,7.0,19.0,6.0,1.0,6.0,108.0,0.0,0.0,0.0
