,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
True-1500d,31.0,26.0,25.0,26.0,36.0,258.0,276.0,223.0,259.0,79.0,52.0,143.0,110.0,44.0,64.0,122.0,162.0,92.0,188.0,205.0,188.0,191.0,266.0,140.0,249.0,274.0,179.0,261.0,260.0,250.0,41.0,237.0,170.0,238.0,49.0,11.0,21.0,18.0,29.0,12.0,10.0,12.0,233.0,0.0,0.0,0.0
False-1500d,70.0,138.0,105.0,105.0,60.0,172.0,211.0,200.0,178.0,46.0,25.0,80.0,83.0,40.0,56.0,90.0,99.0,151.0,157.0,185.0,193.0,166.0,220.0,213.0,170.0,249.0,185.0,156.0,141.0,211.0,86.0,236.0,149.0,197.0,146.0,124.0,117.0,47.0,113.0,96.0,96.0,83.0,115.0,0.0,0.0,0.0
True-1000d,19.0,33.0,46.0,6.0,22.0,273.0,287.0,226.0,262.0,56.0,25.0,145.0,135.0,24.0,34.0,110.0,138.0,53.0,176.0,232.0,233.0,120.0,285.0,173.0,258.0,284.0,201.0,258.0,254.0,247.0,45.0,253.0,183.0,241.0,87.0,8.0,16.0,19.0,40.0,12.0,7.0,13.0,221.0,0.0,0.0,0.0
False-1000d,69.0,147.0,110.0,116.0,64.0,171.0,219.0,208.0,184.0,60.0,27.0,91.0,92.0,51.0,67.0,97.0,110.0,124.0,146.0,176.0,165.0,155.0,202.0,187.0,179.0,241.0,187.0,150.0,140.0,173.0,90.0,240.0,152.0,202.0,152.0,114.0,113.0,54.0,127.0,99.0,105.0,83.0,121.0,0.0,0.0,0.0
True-500d,35.0,74.0,145.0,25.0,10.0,263.0,284.0,247.0,252.0,18.0,11.0,112.0,136.0,5.0,9.0,149.0,100.0,51.0,158.0,220.0,258.0,44.0,280.0,248.0,233.0,263.0,217.0,236.0,233.0,177.0,56.0,236.0,212.0,238.0,133.0,19.0,29.0,19.0,84.0,32.0,18.0,27.0,164.0,0.0,0.0,0.0
False-500d,45.0,122.0,68.0,81.0,57.0,150.0,232.0,241.0,213.0,70.0,38.0,112.0,100.0,54.0,84.0,93.0,125.0,138.0,189.0,195.0,185.0,162.0,190.0,201.0,230.0,209.0,216.0,156.0,135.0,150.0,106.0,260.0,171.0,231.0,116.0,63.0,77.0,52.0,98.0,66.0,59.0,67.0,153.0,0.0,0.0,0.0
True-300d,43.0,111.0,156.0,32.0,19.0,281.0,279.0,245.0,260.0,7.0,4.0,115.0,171.0,10.0,3.0,188.0,83.0,96.0,161.0,216.0,251.0,20.0,270.0,245.0,222.0,236.0,178.0,208.0,224.0,141.0,67.0,211.0,155.0,255.0,155.0,46.0,26.0,33.0,92.0,33.0,21.0,46.0,145.0,0.0,0.0,0.0
False-300d,33.0,82.0,56.0,59.0,82.0,133.0,252.0,265.0,242.0,73.0,39.0,131.0,127.0,44.0,71.0,104.0,153.0,143.0,219.0,186.0,189.0,179.0,205.0,190.0,255.0,190.0,253.0,172.0,147.0,150.0,82.0,267.0,182.0,230.0,114.0,39.0,38.0,29.0,75.0,42.0,38.0,44.0,156.0,0.0,0.0,0.0
True-100d,38.0,96.0,104.0,33.0,39.0,278.0,275.0,272.0,218.0,7.0,18.0,208.0,223.0,27.0,21.0,231.0,179.0,73.0,203.0,199.0,259.0,73.0,269.0,263.0,184.0,126.0,139.0,186.0,201.0,128.0,43.0,152.0,114.0,211.0,79.0,41.0,30.0,36.0,84.0,57.0,20.0,58.0,265.0,0.0,0.0,0.0
False-100d,23.0,52.0,81.0,13.0,46.0,203.0,282.0,254.0,253.0,29.0,24.0,172.0,157.0,19.0,23.0,135.0,156.0,92.0,204.0,212.0,219.0,66.0,278.0,110.0,232.0,253.0,250.0,266.0,255.0,218.0,66.0,254.0,179.0,252.0,101.0,25.0,15.0,27.0,52.0,28.0,19.0,24.0,141.0,0.0,0.0,0.0
True-50d,37.0,60.0,43.0,32.0,54.0,282.0,271.0,281.0,227.0,11.0,10.0,232.0,224.0,34.0,29.0,258.0,246.0,107.0,200.0,226.0,261.0,84.0,275.0,259.0,162.0,67.0,190.0,198.0,213.0,161.0,19.0,156.0,95.0,186.0,53.0,20.0,21.0,28.0,57.0,37.0,29.0,45.0,280.0,0.0,0.0,0.0
False-50d,50.0,91.0,118.0,34.0,10.0,245.0,278.0,246.0,254.0,6.0,11.0,112.0,115.0,13.0,12.0,120.0,89.0,82.0,190.0,224.0,257.0,31.0,275.0,241.0,233.0,234.0,230.0,226.0,223.0,175.0,76.0,226.0,218.0,245.0,134.0,28.0,25.0,32.0,78.0,30.0,14.0,34.0,195.0,0.0,0.0,0.0
