,diff_mean_02,diff_mean_05,diff_mean_10,diff_mean_25,diff_median_02,diff_median_05,diff_median_10,diff_median_25,dist_ratio.coeff_var,eps.max,eps.ratio,eps.s,expl_var.cor_init,expl_var.cor_x,expl_var.cov_init,expl_var.cov_x,expl_var_PC1.cor_init,expl_var_PC1.cor_x,expl_var_PC1.cov_init,expl_var_PC1.cov_x,h.max,kurtosis,lin_simple.adj_r2,lin_simple.coef.max,lin_simple.coef.max_by_min,lin_simple.coef.min,lin_simple.intercept,lin_w_interact.adj_r2,m0,nb_fitness.cor,nn_nb.cor,nn_nb.mean_ratio,nn_nb.sd_ratio,number_of_peaks,quad_simple.adj_r2,quad_simple.cond,quad_w_interact.adj_r2,ratio_mean_02,ratio_mean_05,ratio_mean_10,ratio_mean_25,ratio_median_02,ratio_median_05,ratio_median_10,ratio_median_25,skewness
target-1500d,25.0,37.0,36.0,29.0,53.0,82.0,164.0,169.0,134.0,46.0,42.0,108.0,96.0,33.0,97.0,99.0,89.0,119.0,143.0,137.0,152.0,124.0,167.0,139.0,125.0,115.0,115.0,106.0,71.0,77.0,115.0,154.0,105.0,166.0,21.0,29.0,39.0,35.0,34.0,30.0,42.0,29.0,112.0,0.0,0.0,0.0
rand-1500d,34.0,30.0,18.0,37.0,82.0,99.0,173.0,161.0,120.0,29.0,41.0,120.0,80.0,16.0,79.0,98.0,80.0,82.0,140.0,136.0,150.0,126.0,178.0,153.0,155.0,149.0,110.0,110.0,82.0,95.0,103.0,172.0,111.0,181.0,20.0,28.0,22.0,27.0,27.0,22.0,39.0,31.0,94.0,0.0,0.0,0.0
best-1500d,29.0,41.0,21.0,36.0,66.0,84.0,181.0,175.0,129.0,44.0,35.0,134.0,93.0,28.0,78.0,111.0,92.0,97.0,126.0,121.0,156.0,110.0,175.0,149.0,142.0,148.0,96.0,107.0,79.0,92.0,98.0,159.0,103.0,170.0,17.0,29.0,25.0,23.0,36.0,26.0,31.0,43.0,105.0,0.0,0.0,0.0
target-1000d,30.0,51.0,30.0,46.0,45.0,77.0,170.0,162.0,126.0,34.0,30.0,113.0,101.0,24.0,92.0,96.0,99.0,118.0,142.0,125.0,148.0,118.0,178.0,154.0,131.0,129.0,113.0,104.0,77.0,76.0,112.0,147.0,102.0,172.0,23.0,26.0,42.0,40.0,38.0,34.0,51.0,19.0,95.0,0.0,0.0,0.0
rand-1000d,40.0,23.0,21.0,51.0,81.0,93.0,171.0,174.0,135.0,28.0,34.0,89.0,72.0,26.0,52.0,65.0,51.0,93.0,146.0,151.0,157.0,137.0,182.0,162.0,149.0,153.0,126.0,106.0,83.0,104.0,133.0,164.0,84.0,177.0,19.0,24.0,17.0,46.0,30.0,15.0,33.0,44.0,99.0,0.0,0.0,0.0
best-1000d,44.0,41.0,27.0,38.0,80.0,82.0,182.0,167.0,131.0,37.0,48.0,117.0,79.0,19.0,66.0,90.0,81.0,94.0,148.0,131.0,165.0,110.0,177.0,158.0,138.0,147.0,99.0,93.0,83.0,107.0,111.0,154.0,96.0,167.0,26.0,27.0,21.0,39.0,33.0,26.0,29.0,44.0,88.0,0.0,0.0,0.0
target-500d,19.0,52.0,36.0,44.0,33.0,78.0,174.0,164.0,133.0,29.0,35.0,107.0,101.0,25.0,72.0,115.0,130.0,125.0,158.0,80.0,164.0,97.0,170.0,150.0,107.0,123.0,111.0,121.0,75.0,82.0,130.0,113.0,96.0,158.0,30.0,19.0,31.0,38.0,55.0,32.0,67.0,34.0,127.0,0.0,0.0,0.0
rand-500d,30.0,53.0,23.0,72.0,55.0,94.0,170.0,183.0,136.0,16.0,30.0,103.0,75.0,13.0,44.0,88.0,84.0,93.0,150.0,135.0,156.0,118.0,168.0,174.0,134.0,163.0,107.0,124.0,72.0,84.0,117.0,130.0,90.0,181.0,27.0,27.0,30.0,26.0,58.0,20.0,61.0,34.0,92.0,0.0,0.0,0.0
best-500d,34.0,50.0,36.0,61.0,58.0,96.0,179.0,181.0,148.0,25.0,24.0,99.0,76.0,20.0,47.0,85.0,73.0,85.0,152.0,137.0,170.0,101.0,168.0,168.0,135.0,143.0,111.0,103.0,75.0,87.0,120.0,119.0,89.0,173.0,24.0,21.0,41.0,30.0,54.0,33.0,59.0,40.0,110.0,0.0,0.0,0.0
target-300d,43.0,54.0,48.0,61.0,37.0,102.0,175.0,163.0,148.0,27.0,34.0,122.0,82.0,24.0,50.0,111.0,137.0,128.0,167.0,65.0,170.0,85.0,177.0,151.0,79.0,126.0,102.0,115.0,68.0,78.0,136.0,97.0,82.0,150.0,23.0,22.0,38.0,35.0,44.0,42.0,70.0,32.0,140.0,0.0,0.0,0.0
rand-300d,52.0,39.0,36.0,56.0,62.0,92.0,166.0,168.0,151.0,18.0,17.0,101.0,107.0,6.0,26.0,99.0,143.0,121.0,151.0,122.0,170.0,80.0,184.0,158.0,92.0,151.0,112.0,106.0,79.0,84.0,141.0,111.0,61.0,153.0,28.0,36.0,29.0,48.0,56.0,29.0,61.0,41.0,97.0,0.0,0.0,0.0
best-300d,25.0,66.0,44.0,77.0,44.0,78.0,178.0,171.0,138.0,16.0,28.0,107.0,89.0,14.0,31.0,89.0,91.0,113.0,164.0,120.0,176.0,74.0,167.0,156.0,126.0,162.0,128.0,111.0,75.0,79.0,121.0,107.0,82.0,163.0,18.0,22.0,28.0,29.0,57.0,43.0,83.0,42.0,108.0,0.0,0.0,0.0
target-100d,40.0,51.0,37.0,44.0,34.0,80.0,173.0,165.0,164.0,14.0,43.0,129.0,104.0,18.0,8.0,137.0,171.0,160.0,190.0,67.0,164.0,49.0,184.0,137.0,63.0,128.0,124.0,124.0,60.0,71.0,166.0,64.0,67.0,157.0,27.0,20.0,33.0,35.0,42.0,38.0,56.0,36.0,166.0,0.0,0.0,0.0
